325.000, 0.095	325.000, 0.100	325.000, 0.098	325.000, 0.092	325.000, 0.102	325.000, 0.106
372.000, 0.114	372.000, 0.116	372.000, 0.119	372.000, 0.116	372.000, 0.119	372.000, 0.117
373.000, 0.116	373.000, 0.117	373.000, 0.121	373.000, 0.117	373.000, 0.120	373.000, 0.119
374.000, 0.117	374.000, 0.120	374.000, 0.123	374.000, 0.119	374.000, 0.122	374.000, 0.121
375.000, 0.118	375.000, 0.121	375.000, 0.123	375.000, 0.119	375.000, 0.123	375.000, 0.121
376.000, 0.119	376.000, 0.121	376.000, 0.123	376.000, 0.119	376.000, 0.123	376.000, 0.121
377.000, 0.120	377.000, 0.122	377.000, 0.125	377.000, 0.121	377.000, 0.125	377.000, 0.123
378.000, 0.121	378.000, 0.123	378.000, 0.125	378.000, 0.122	378.000, 0.127	378.000, 0.125
379.000, 0.122	379.000, 0.125	379.000, 0.125	379.000, 0.122	379.000, 0.128	379.000, 0.126
380.000, 0.121	380.000, 0.123	380.000, 0.125	380.000, 0.122	380.000, 0.128	380.000, 0.125
381.000, 0.122	381.000, 0.122	381.000, 0.126	381.000, 0.123	381.000, 0.129	381.000, 0.126
382.000, 0.124	382.000, 0.124	382.000, 0.127	382.000, 0.125	382.000, 0.131	382.000, 0.128
383.000, 0.124	383.000, 0.126	383.000, 0.129	383.000, 0.127	383.000, 0.131	383.000, 0.129
384.000, 0.125	384.000, 0.128	384.000, 0.130	384.000, 0.129	384.000, 0.132	384.000, 0.130
385.000, 0.128	385.000, 0.128	385.000, 0.130	385.000, 0.129	385.000, 0.135	385.000, 0.132
386.000, 0.129	386.000, 0.129	386.000, 0.132	386.000, 0.130	386.000, 0.136	386.000, 0.133
387.000, 0.130	387.000, 0.131	387.000, 0.135	387.000, 0.131	387.000, 0.135	387.000, 0.132
388.000, 0.132	388.000, 0.132	388.000, 0.135	388.000, 0.132	388.000, 0.137	388.000, 0.135
389.000, 0.133	389.000, 0.133	389.000, 0.136	389.000, 0.134	389.000, 0.139	389.000, 0.137
390.000, 0.134	390.000, 0.135	390.000, 0.137	390.000, 0.136	390.000, 0.140	390.000, 0.138
391.000, 0.134	391.000, 0.135	391.000, 0.138	391.000, 0.136	391.000, 0.141	391.000, 0.138
392.000, 0.135	392.000, 0.136	392.000, 0.139	392.000, 0.137	392.000, 0.142	392.000, 0.139
393.000, 0.137	393.000, 0.138	393.000, 0.142	393.000, 0.138	393.000, 0.144	393.000, 0.141
394.000, 0.139	394.000, 0.139	394.000, 0.144	394.000, 0.141	394.000, 0.146	394.000, 0.144
395.000, 0.141	395.000, 0.140	395.000, 0.144	395.000, 0.143	395.000, 0.148	395.000, 0.145
396.000, 0.141	396.000, 0.142	396.000, 0.146	396.000, 0.144	396.000, 0.149	396.000, 0.146
397.000, 0.142	397.000, 0.143	397.000, 0.147	397.000, 0.144	397.000, 0.149	397.000, 0.147
398.000, 0.143	398.000, 0.143	398.000, 0.147	398.000, 0.144	398.000, 0.149	398.000, 0.147
399.000, 0.144	399.000, 0.145	399.000, 0.148	399.000, 0.145	399.000, 0.150	399.000, 0.148
400.000, 0.145	400.000, 0.147	400.000, 0.149	400.000, 0.147	400.000, 0.152	400.000, 0.150
401.000, 0.147	401.000, 0.148	401.000, 0.150	401.000, 0.149	401.000, 0.154	401.000, 0.152
402.000, 0.147	402.000, 0.148	402.000, 0.151	402.000, 0.149	402.000, 0.154	402.000, 0.152
403.000, 0.148	403.000, 0.149	403.000, 0.153	403.000, 0.149	403.000, 0.154	403.000, 0.152
404.000, 0.149	404.000, 0.150	404.000, 0.154	404.000, 0.151	404.000, 0.156	404.000, 0.153
405.000, 0.150	405.000, 0.151	405.000, 0.154	405.000, 0.152	405.000, 0.157	405.000, 0.154
406.000, 0.151	406.000, 0.152	406.000, 0.155	406.000, 0.152	406.000, 0.157	406.000, 0.155
407.000, 0.153	407.000, 0.153	407.000, 0.157	407.000, 0.154	407.000, 0.158	407.000, 0.157
408.000, 0.154	408.000, 0.155	408.000, 0.158	408.000, 0.155	408.000, 0.160	408.000, 0.158
409.000, 0.154	409.000, 0.156	409.000, 0.159	409.000, 0.156	409.000, 0.162	409.000, 0.159
410.000, 0.155	410.000, 0.157	410.000, 0.160	410.000, 0.157	410.000, 0.162	410.000, 0.160
411.000, 0.157	411.000, 0.158	411.000, 0.161	411.000, 0.158	411.000, 0.163	411.000, 0.161
412.000, 0.158	412.000, 0.159	412.000, 0.162	412.000, 0.159	412.000, 0.165	412.000, 0.162
413.000, 0.159	413.000, 0.160	413.000, 0.163	413.000, 0.160	413.000, 0.166	413.000, 0.163
414.000, 0.160	414.000, 0.161	414.000, 0.164	414.000, 0.161	414.000, 0.166	414.000, 0.164
415.000, 0.161	415.000, 0.162	415.000, 0.166	415.000, 0.162	415.000, 0.167	415.000, 0.165
416.000, 0.162	416.000, 0.163	416.000, 0.167	416.000, 0.163	416.000, 0.168	416.000, 0.166
417.000, 0.163	417.000, 0.165	417.000, 0.168	417.000, 0.164	417.000, 0.170	417.000, 0.168
418.000, 0.164	418.000, 0.166	418.000, 0.169	418.000, 0.165	418.000, 0.171	418.000, 0.168
419.000, 0.165	419.000, 0.167	419.000, 0.170	419.000, 0.166	419.000, 0.172	419.000, 0.169
420.000, 0.166	420.000, 0.168	420.000, 0.171	420.000, 0.167	420.000, 0.173	420.000, 0.171
421.000, 0.167	421.000, 0.169	421.000, 0.172	421.000, 0.168	421.000, 0.174	421.000, 0.171
422.000, 0.168	422.000, 0.170	422.000, 0.173	422.000, 0.170	422.000, 0.175	422.000, 0.172
423.000, 0.170	423.000, 0.171	423.000, 0.175	423.000, 0.171	423.000, 0.177	423.000, 0.174
424.000, 0.171	424.000, 0.172	424.000, 0.176	424.000, 0.172	424.000, 0.178	424.000, 0.175
425.000, 0.172	425.000, 0.173	425.000, 0.177	425.000, 0.173	425.000, 0.178	425.000, 0.176
426.000, 0.173	426.000, 0.175	426.000, 0.178	426.000, 0.174	426.000, 0.180	426.000, 0.177
427.000, 0.174	427.000, 0.176	427.000, 0.179	427.000, 0.175	427.000, 0.181	427.000, 0.179
428.000, 0.175	428.000, 0.177	428.000, 0.180	428.000, 0.176	428.000, 0.182	428.000, 0.180
429.000, 0.177	429.000, 0.178	429.000, 0.181	429.000, 0.178	429.000, 0.183	429.000, 0.181
430.000, 0.178	430.000, 0.179	430.000, 0.182	430.000, 0.179	430.000, 0.185	430.000, 0.183
431.000, 0.179	431.000, 0.181	431.000, 0.184	431.000, 0.180	431.000, 0.186	431.000, 0.184
432.000, 0.181	432.000, 0.182	432.000, 0.185	432.000, 0.182	432.000, 0.188	432.000, 0.186
433.000, 0.183	433.000, 0.184	433.000, 0.187	433.000, 0.183	433.000, 0.189	433.000, 0.187
434.000, 0.184	434.000, 0.185	434.000, 0.188	434.000, 0.185	434.000, 0.191	434.000, 0.188
435.000, 0.185	435.000, 0.186	435.000, 0.189	435.000, 0.186	435.000, 0.192	435.000, 0.189
436.000, 0.186	436.000, 0.187	436.000, 0.190	436.000, 0.187	436.000, 0.193	436.000, 0.191
437.000, 0.187	437.000, 0.188	437.000, 0.191	437.000, 0.188	437.000, 0.194	437.000, 0.192
438.000, 0.188	438.000, 0.189	438.000, 0.192	438.000, 0.189	438.000, 0.195	438.000, 0.193
439.000, 0.190	439.000, 0.190	439.000, 0.193	439.000, 0.191	439.000, 0.197	439.000, 0.194
440.000, 0.191	440.000, 0.192	440.000, 0.195	440.000, 0.192	440.000, 0.198	440.000, 0.196
441.000, 0.192	441.000, 0.193	441.000, 0.196	441.000, 0.193	441.000, 0.200	441.000, 0.197
442.000, 0.193	442.000, 0.194	442.000, 0.197	442.000, 0.194	442.000, 0.200	442.000, 0.198
443.000, 0.194	443.000, 0.195	443.000, 0.198	443.000, 0.195	443.000, 0.201	443.000, 0.199
444.000, 0.195	444.000, 0.196	444.000, 0.199	444.000, 0.196	444.000, 0.202	444.000, 0.200
445.000, 0.196	445.000, 0.197	445.000, 0.200	445.000, 0.197	445.000, 0.203	445.000, 0.201
446.000, 0.197	446.000, 0.198	446.000, 0.201	446.000, 0.198	446.000, 0.204	446.000, 0.202
447.000, 0.198	447.000, 0.199	447.000, 0.202	447.000, 0.199	447.000, 0.205	447.000, 0.202
448.000, 0.199	448.000, 0.200	448.000, 0.203	448.000, 0.200	448.000, 0.206	448.000, 0.203
449.000, 0.200	449.000, 0.200	449.000, 0.204	449.000, 0.201	449.000, 0.207	449.000, 0.204
450.000, 0.200	450.000, 0.201	450.000, 0.204	450.000, 0.201	450.000, 0.208	450.000, 0.205
451.000, 0.201	451.000, 0.202	451.000, 0.205	451.000, 0.202	451.000, 0.208	451.000, 0.206
452.000, 0.202	452.000, 0.203	452.000, 0.206	452.000, 0.203	452.000, 0.209	452.000, 0.207
453.000, 0.202	453.000, 0.203	453.000, 0.206	453.000, 0.203	453.000, 0.210	453.000, 0.207
454.000, 0.203	454.000, 0.204	454.000, 0.207	454.000, 0.204	454.000, 0.210	454.000, 0.208
455.000, 0.204	455.000, 0.205	455.000, 0.207	455.000, 0.204	455.000, 0.211	455.000, 0.209
456.000, 0.204	456.000, 0.205	456.000, 0.208	456.000, 0.205	456.000, 0.211	456.000, 0.209
457.000, 0.205	457.000, 0.206	457.000, 0.209	457.000, 0.206	457.000, 0.212	457.000, 0.209
458.000, 0.205	458.000, 0.207	458.000, 0.209	458.000, 0.206	458.000, 0.212	458.000, 0.210
459.000, 0.206	459.000, 0.207	459.000, 0.210	459.000, 0.207	459.000, 0.213	459.000, 0.211
460.000, 0.207	460.000, 0.208	460.000, 0.211	460.000, 0.207	460.000, 0.213	460.000, 0.211
461.000, 0.207	461.000, 0.208	461.000, 0.211	461.000, 0.208	461.000, 0.214	461.000, 0.211
462.000, 0.208	462.000, 0.209	462.000, 0.212	462.000, 0.208	462.000, 0.215	462.000, 0.212
463.000, 0.208	463.000, 0.209	463.000, 0.212	463.000, 0.209	463.000, 0.215	463.000, 0.213
464.000, 0.209	464.000, 0.210	464.000, 0.213	464.000, 0.209	464.000, 0.216	464.000, 0.213
465.000, 0.209	465.000, 0.210	465.000, 0.213	465.000, 0.210	465.000, 0.216	465.000, 0.213
466.000, 0.210	466.000, 0.211	466.000, 0.214	466.000, 0.210	466.000, 0.216	466.000, 0.214
467.000, 0.210	467.000, 0.211	467.000, 0.214	467.000, 0.210	467.000, 0.217	467.000, 0.214
468.000, 0.210	468.000, 0.212	468.000, 0.215	468.000, 0.211	468.000, 0.217	468.000, 0.215
469.000, 0.211	469.000, 0.212	469.000, 0.215	469.000, 0.211	469.000, 0.218	469.000, 0.215
470.000, 0.212	470.000, 0.213	470.000, 0.216	470.000, 0.212	470.000, 0.218	470.000, 0.216
471.000, 0.212	471.000, 0.214	471.000, 0.217	471.000, 0.213	471.000, 0.219	471.000, 0.216
472.000, 0.213	472.000, 0.214	472.000, 0.218	472.000, 0.213	472.000, 0.220	472.000, 0.217
473.000, 0.214	473.000, 0.215	473.000, 0.218	473.000, 0.214	473.000, 0.220	473.000, 0.218
474.000, 0.215	474.000, 0.216	474.000, 0.219	474.000, 0.215	474.000, 0.221	474.000, 0.219
475.000, 0.215	475.000, 0.217	475.000, 0.220	475.000, 0.216	475.000, 0.222	475.000, 0.220
476.000, 0.216	476.000, 0.217	476.000, 0.221	476.000, 0.216	476.000, 0.222	476.000, 0.220
477.000, 0.216	477.000, 0.218	477.000, 0.221	477.000, 0.217	477.000, 0.223	477.000, 0.221
478.000, 0.217	478.000, 0.218	478.000, 0.222	478.000, 0.217	478.000, 0.223	478.000, 0.221
479.000, 0.218	479.000, 0.219	479.000, 0.222	479.000, 0.217	479.000, 0.224	479.000, 0.222
480.000, 0.218	480.000, 0.220	480.000, 0.223	480.000, 0.219	480.000, 0.225	480.000, 0.222
481.000, 0.219	481.000, 0.221	481.000, 0.224	481.000, 0.219	481.000, 0.226	481.000, 0.223
482.000, 0.220	482.000, 0.222	482.000, 0.225	482.000, 0.220	482.000, 0.227	482.000, 0.224
483.000, 0.221	483.000, 0.222	483.000, 0.225	483.000, 0.221	483.000, 0.227	483.000, 0.225
484.000, 0.222	484.000, 0.223	484.000, 0.226	484.000, 0.222	484.000, 0.228	484.000, 0.226
485.000, 0.223	485.000, 0.224	485.000, 0.227	485.000, 0.223	485.000, 0.229	485.000, 0.227
486.000, 0.224	486.000, 0.225	486.000, 0.228	486.000, 0.224	486.000, 0.230	486.000, 0.228
487.000, 0.225	487.000, 0.226	487.000, 0.229	487.000, 0.225	487.000, 0.231	487.000, 0.229
488.000, 0.226	488.000, 0.227	488.000, 0.230	488.000, 0.226	488.000, 0.233	488.000, 0.230
489.000, 0.227	489.000, 0.228	489.000, 0.231	489.000, 0.227	489.000, 0.234	489.000, 0.231
490.000, 0.228	490.000, 0.229	490.000, 0.232	490.000, 0.228	490.000, 0.235	490.000, 0.232
491.000, 0.229	491.000, 0.230	491.000, 0.233	491.000, 0.229	491.000, 0.235	491.000, 0.233
492.000, 0.229	492.000, 0.230	492.000, 0.234	492.000, 0.230	492.000, 0.236	492.000, 0.233
493.000, 0.230	493.000, 0.231	493.000, 0.234	493.000, 0.231	493.000, 0.237	493.000, 0.235
494.000, 0.232	494.000, 0.233	494.000, 0.236	494.000, 0.232	494.000, 0.239	494.000, 0.236
495.000, 0.233	495.000, 0.234	495.000, 0.237	495.000, 0.233	495.000, 0.240	495.000, 0.237
496.000, 0.234	496.000, 0.235	496.000, 0.238	496.000, 0.234	496.000, 0.241	496.000, 0.238
497.000, 0.235	497.000, 0.235	497.000, 0.238	497.000, 0.235	497.000, 0.242	497.000, 0.239
498.000, 0.236	498.000, 0.236	498.000, 0.239	498.000, 0.236	498.000, 0.243	498.000, 0.240
499.000, 0.237	499.000, 0.238	499.000, 0.240	499.000, 0.237	499.000, 0.244	499.000, 0.241
500.000, 0.238	500.000, 0.239	500.000, 0.242	500.000, 0.238	500.000, 0.245	500.000, 0.242
501.000, 0.239	501.000, 0.240	501.000, 0.243	501.000, 0.239	501.000, 0.246	501.000, 0.244
502.000, 0.240	502.000, 0.241	502.000, 0.244	502.000, 0.240	502.000, 0.247	502.000, 0.245
503.000, 0.242	503.000, 0.242	503.000, 0.245	503.000, 0.241	503.000, 0.248	503.000, 0.246
504.000, 0.242	504.000, 0.243	504.000, 0.246	504.000, 0.243	504.000, 0.250	504.000, 0.247
505.000, 0.244	505.000, 0.244	505.000, 0.247	505.000, 0.244	505.000, 0.251	505.000, 0.248
506.000, 0.245	506.000, 0.245	506.000, 0.248	506.000, 0.245	506.000, 0.252	506.000, 0.249
507.000, 0.246	507.000, 0.246	507.000, 0.249	507.000, 0.246	507.000, 0.253	507.000, 0.250
508.000, 0.247	508.000, 0.247	508.000, 0.250	508.000, 0.247	508.000, 0.254	508.000, 0.251
509.000, 0.248	509.000, 0.248	509.000, 0.250	509.000, 0.247	509.000, 0.255	509.000, 0.252
510.000, 0.249	510.000, 0.249	510.000, 0.251	510.000, 0.249	510.000, 0.256	510.000, 0.253
511.000, 0.250	511.000, 0.250	511.000, 0.253	511.000, 0.250	511.000, 0.257	511.000, 0.254
512.000, 0.251	512.000, 0.251	512.000, 0.254	512.000, 0.251	512.000, 0.259	512.000, 0.255
513.000, 0.252	513.000, 0.252	513.000, 0.255	513.000, 0.252	513.000, 0.260	513.000, 0.257
514.000, 0.253	514.000, 0.253	514.000, 0.256	514.000, 0.253	514.000, 0.260	514.000, 0.257
515.000, 0.254	515.000, 0.254	515.000, 0.256	515.000, 0.254	515.000, 0.261	515.000, 0.258
516.000, 0.255	516.000, 0.255	516.000, 0.257	516.000, 0.255	516.000, 0.262	516.000, 0.259
517.000, 0.256	517.000, 0.256	517.000, 0.258	517.000, 0.256	517.000, 0.263	517.000, 0.260
518.000, 0.257	518.000, 0.257	518.000, 0.259	518.000, 0.257	518.000, 0.264	518.000, 0.261
519.000, 0.258	519.000, 0.258	519.000, 0.260	519.000, 0.258	519.000, 0.266	519.000, 0.262
520.000, 0.259	520.000, 0.259	520.000, 0.262	520.000, 0.259	520.000, 0.267	520.000, 0.264
521.000, 0.260	521.000, 0.260	521.000, 0.263	521.000, 0.261	521.000, 0.268	521.000, 0.265
522.000, 0.261	522.000, 0.261	522.000, 0.264	522.000, 0.262	522.000, 0.269	522.000, 0.266
523.000, 0.262	523.000, 0.262	523.000, 0.265	523.000, 0.262	523.000, 0.270	523.000, 0.267
524.000, 0.263	524.000, 0.263	524.000, 0.265	524.000, 0.263	524.000, 0.271	524.000, 0.268
525.000, 0.264	525.000, 0.264	525.000, 0.266	525.000, 0.264	525.000, 0.272	525.000, 0.269
526.000, 0.265	526.000, 0.265	526.000, 0.267	526.000, 0.265	526.000, 0.273	526.000, 0.270
527.000, 0.266	527.000, 0.266	527.000, 0.268	527.000, 0.266	527.000, 0.274	527.000, 0.271
528.000, 0.267	528.000, 0.267	528.000, 0.269	528.000, 0.268	528.000, 0.275	528.000, 0.272
529.000, 0.268	529.000, 0.267	529.000, 0.270	529.000, 0.269	529.000, 0.276	529.000, 0.273
530.000, 0.270	530.000, 0.269	530.000, 0.271	530.000, 0.270	530.000, 0.277	530.000, 0.274
531.000, 0.271	531.000, 0.270	531.000, 0.272	531.000, 0.270	531.000, 0.278	531.000, 0.275
532.000, 0.271	532.000, 0.271	532.000, 0.273	532.000, 0.271	532.000, 0.279	532.000, 0.276
533.000, 0.272	533.000, 0.272	533.000, 0.274	533.000, 0.273	533.000, 0.280	533.000, 0.277
534.000, 0.273	534.000, 0.273	534.000, 0.275	534.000, 0.274	534.000, 0.282	534.000, 0.278
535.000, 0.274	535.000, 0.274	535.000, 0.276	535.000, 0.275	535.000, 0.283	535.000, 0.279
536.000, 0.276	536.000, 0.275	536.000, 0.277	536.000, 0.276	536.000, 0.284	536.000, 0.280
537.000, 0.277	537.000, 0.276	537.000, 0.278	537.000, 0.277	537.000, 0.285	537.000, 0.282
538.000, 0.278	538.000, 0.277	538.000, 0.280	538.000, 0.278	538.000, 0.286	538.000, 0.283
539.000, 0.279	539.000, 0.278	539.000, 0.281	539.000, 0.279	539.000, 0.287	539.000, 0.284
540.000, 0.280	540.000, 0.279	540.000, 0.282	540.000, 0.280	540.000, 0.288	540.000, 0.285
541.000, 0.281	541.000, 0.280	541.000, 0.283	541.000, 0.281	541.000, 0.290	541.000, 0.286
542.000, 0.282	542.000, 0.281	542.000, 0.284	542.000, 0.282	542.000, 0.291	542.000, 0.287
543.000, 0.283	543.000, 0.282	543.000, 0.285	543.000, 0.283	543.000, 0.292	543.000, 0.288
544.000, 0.284	544.000, 0.283	544.000, 0.286	544.000, 0.284	544.000, 0.293	544.000, 0.289
545.000, 0.285	545.000, 0.284	545.000, 0.287	545.000, 0.285	545.000, 0.294	545.000, 0.290
546.000, 0.286	546.000, 0.285	546.000, 0.288	546.000, 0.287	546.000, 0.295	546.000, 0.291
547.000, 0.287	547.000, 0.286	547.000, 0.289	547.000, 0.288	547.000, 0.296	547.000, 0.292
548.000, 0.289	548.000, 0.288	548.000, 0.290	548.000, 0.289	548.000, 0.297	548.000, 0.294
549.000, 0.290	549.000, 0.289	549.000, 0.291	549.000, 0.290	549.000, 0.298	549.000, 0.294
550.000, 0.290	550.000, 0.290	550.000, 0.292	550.000, 0.291	550.000, 0.299	550.000, 0.295
551.000, 0.292	551.000, 0.290	551.000, 0.293	551.000, 0.292	551.000, 0.300	551.000, 0.296
552.000, 0.293	552.000, 0.291	552.000, 0.294	552.000, 0.293	552.000, 0.301	552.000, 0.298
553.000, 0.294	553.000, 0.292	553.000, 0.295	553.000, 0.294	553.000, 0.302	553.000, 0.299
554.000, 0.295	554.000, 0.293	554.000, 0.296	554.000, 0.295	554.000, 0.303	554.000, 0.300
555.000, 0.296	555.000, 0.294	555.000, 0.297	555.000, 0.296	555.000, 0.305	555.000, 0.301
556.000, 0.297	556.000, 0.296	556.000, 0.298	556.000, 0.297	556.000, 0.306	556.000, 0.302
557.000, 0.298	557.000, 0.297	557.000, 0.299	557.000, 0.298	557.000, 0.307	557.000, 0.303
558.000, 0.299	558.000, 0.297	558.000, 0.300	558.000, 0.299	558.000, 0.308	558.000, 0.304
559.000, 0.300	559.000, 0.298	559.000, 0.301	559.000, 0.300	559.000, 0.309	559.000, 0.305
560.000, 0.301	560.000, 0.299	560.000, 0.302	560.000, 0.301	560.000, 0.310	560.000, 0.306
561.000, 0.302	561.000, 0.300	561.000, 0.303	561.000, 0.302	561.000, 0.311	561.000, 0.307
562.000, 0.303	562.000, 0.302	562.000, 0.304	562.000, 0.303	562.000, 0.312	562.000, 0.308
563.000, 0.304	563.000, 0.303	563.000, 0.305	563.000, 0.304	563.000, 0.313	563.000, 0.309
564.000, 0.305	564.000, 0.303	564.000, 0.306	564.000, 0.305	564.000, 0.314	564.000, 0.310
565.000, 0.306	565.000, 0.304	565.000, 0.306	565.000, 0.306	565.000, 0.315	565.000, 0.311
566.000, 0.307	566.000, 0.305	566.000, 0.307	566.000, 0.307	566.000, 0.316	566.000, 0.312
567.000, 0.308	567.000, 0.306	567.000, 0.308	567.000, 0.308	567.000, 0.317	567.000, 0.313
568.000, 0.309	568.000, 0.307	568.000, 0.309	568.000, 0.309	568.000, 0.317	568.000, 0.314
569.000, 0.309	569.000, 0.308	569.000, 0.310	569.000, 0.309	569.000, 0.318	569.000, 0.314
570.000, 0.311	570.000, 0.309	570.000, 0.311	570.000, 0.310	570.000, 0.319	570.000, 0.315
571.000, 0.312	571.000, 0.310	571.000, 0.312	571.000, 0.311	571.000, 0.321	571.000, 0.316
572.000, 0.312	572.000, 0.311	572.000, 0.313	572.000, 0.312	572.000, 0.322	572.000, 0.317
573.000, 0.313	573.000, 0.312	573.000, 0.314	573.000, 0.313	573.000, 0.322	573.000, 0.318
574.000, 0.314	574.000, 0.312	574.000, 0.315	574.000, 0.314	574.000, 0.323	574.000, 0.319
575.000, 0.315	575.000, 0.313	575.000, 0.316	575.000, 0.315	575.000, 0.324	575.000, 0.320
576.000, 0.316	576.000, 0.314	576.000, 0.316	576.000, 0.316	576.000, 0.325	576.000, 0.321
577.000, 0.317	577.000, 0.315	577.000, 0.317	577.000, 0.316	577.000, 0.326	577.000, 0.322
578.000, 0.318	578.000, 0.316	578.000, 0.318	578.000, 0.317	578.000, 0.326	578.000, 0.322
579.000, 0.319	579.000, 0.317	579.000, 0.319	579.000, 0.318	579.000, 0.327	579.000, 0.323
580.000, 0.320	580.000, 0.318	580.000, 0.320	580.000, 0.319	580.000, 0.328	580.000, 0.324
581.000, 0.320	581.000, 0.319	581.000, 0.321	581.000, 0.320	581.000, 0.329	581.000, 0.325
582.000, 0.321	582.000, 0.319	582.000, 0.321	582.000, 0.320	582.000, 0.330	582.000, 0.326
