325.000, 0.009	325.000, 0.005	325.000, 0.006	325.000, 0.008	325.000, 0.011
379.000, 0.022	379.000, 0.020	379.000, 0.020	379.000, 0.021	379.000, 0.021
380.000, 0.021	380.000, 0.020	380.000, 0.019	380.000, 0.020	380.000, 0.020
381.000, 0.021	381.000, 0.020	381.000, 0.019	381.000, 0.020	381.000, 0.019
382.000, 0.022	382.000, 0.021	382.000, 0.020	382.000, 0.021	382.000, 0.020
383.000, 0.023	383.000, 0.021	383.000, 0.020	383.000, 0.021	383.000, 0.021
384.000, 0.022	384.000, 0.021	384.000, 0.020	384.000, 0.022	384.000, 0.021
385.000, 0.022	385.000, 0.019	385.000, 0.020	385.000, 0.021	385.000, 0.020
386.000, 0.022	386.000, 0.020	386.000, 0.019	386.000, 0.021	386.000, 0.020
387.000, 0.022	387.000, 0.021	387.000, 0.020	387.000, 0.022	387.000, 0.021
388.000, 0.024	388.000, 0.022	388.000, 0.022	388.000, 0.023	388.000, 0.022
389.000, 0.025	389.000, 0.022	389.000, 0.023	389.000, 0.024	389.000, 0.022
390.000, 0.024	390.000, 0.022	390.000, 0.022	390.000, 0.023	390.000, 0.022
391.000, 0.024	391.000, 0.022	391.000, 0.022	391.000, 0.023	391.000, 0.023
392.000, 0.024	392.000, 0.022	392.000, 0.022	392.000, 0.022	392.000, 0.023
393.000, 0.024	393.000, 0.022	393.000, 0.022	393.000, 0.023	393.000, 0.023
394.000, 0.025	394.000, 0.023	394.000, 0.023	394.000, 0.025	394.000, 0.023
395.000, 0.026	395.000, 0.024	395.000, 0.024	395.000, 0.026	395.000, 0.024
396.000, 0.025	396.000, 0.023	396.000, 0.023	396.000, 0.024	396.000, 0.023
397.000, 0.025	397.000, 0.023	397.000, 0.022	397.000, 0.024	397.000, 0.023
398.000, 0.025	398.000, 0.023	398.000, 0.023	398.000, 0.025	398.000, 0.024
399.000, 0.026	399.000, 0.025	399.000, 0.024	399.000, 0.025	399.000, 0.025
400.000, 0.026	400.000, 0.025	400.000, 0.024	400.000, 0.025	400.000, 0.025
401.000, 0.026	401.000, 0.025	401.000, 0.024	401.000, 0.025	401.000, 0.025
402.000, 0.026	402.000, 0.025	402.000, 0.024	402.000, 0.025	402.000, 0.025
403.000, 0.026	403.000, 0.026	403.000, 0.024	403.000, 0.025	403.000, 0.024
404.000, 0.026	404.000, 0.025	404.000, 0.024	404.000, 0.025	404.000, 0.024
405.000, 0.027	405.000, 0.025	405.000, 0.024	405.000, 0.025	405.000, 0.025
406.000, 0.027	406.000, 0.026	406.000, 0.025	406.000, 0.025	406.000, 0.026
407.000, 0.028	407.000, 0.026	407.000, 0.026	407.000, 0.026	407.000, 0.026
408.000, 0.028	408.000, 0.027	408.000, 0.026	408.000, 0.027	408.000, 0.026
409.000, 0.028	409.000, 0.026	409.000, 0.025	409.000, 0.026	409.000, 0.026
410.000, 0.028	410.000, 0.026	410.000, 0.025	410.000, 0.026	410.000, 0.026
411.000, 0.028	411.000, 0.026	411.000, 0.025	411.000, 0.026	411.000, 0.026
412.000, 0.028	412.000, 0.026	412.000, 0.026	412.000, 0.027	412.000, 0.026
413.000, 0.028	413.000, 0.026	413.000, 0.026	413.000, 0.027	413.000, 0.026
414.000, 0.029	414.000, 0.027	414.000, 0.026	414.000, 0.027	414.000, 0.027
415.000, 0.030	415.000, 0.027	415.000, 0.027	415.000, 0.027	415.000, 0.027
416.000, 0.030	416.000, 0.028	416.000, 0.027	416.000, 0.028	416.000, 0.027
417.000, 0.030	417.000, 0.029	417.000, 0.027	417.000, 0.028	417.000, 0.028
418.000, 0.030	418.000, 0.028	418.000, 0.027	418.000, 0.029	418.000, 0.027
419.000, 0.030	419.000, 0.028	419.000, 0.027	419.000, 0.029	419.000, 0.028
420.000, 0.030	420.000, 0.029	420.000, 0.028	420.000, 0.028	420.000, 0.028
421.000, 0.031	421.000, 0.029	421.000, 0.028	421.000, 0.029	421.000, 0.028
422.000, 0.031	422.000, 0.029	422.000, 0.028	422.000, 0.029	422.000, 0.028
423.000, 0.031	423.000, 0.030	423.000, 0.028	423.000, 0.030	423.000, 0.028
424.000, 0.031	424.000, 0.030	424.000, 0.029	424.000, 0.030	424.000, 0.029
425.000, 0.032	425.000, 0.030	425.000, 0.029	425.000, 0.030	425.000, 0.029
426.000, 0.032	426.000, 0.030	426.000, 0.029	426.000, 0.030	426.000, 0.029
427.000, 0.032	427.000, 0.031	427.000, 0.029	427.000, 0.030	427.000, 0.029
428.000, 0.033	428.000, 0.031	428.000, 0.030	428.000, 0.031	428.000, 0.030
429.000, 0.033	429.000, 0.031	429.000, 0.030	429.000, 0.031	429.000, 0.031
430.000, 0.033	430.000, 0.031	430.000, 0.030	430.000, 0.031	430.000, 0.031
431.000, 0.033	431.000, 0.031	431.000, 0.030	431.000, 0.031	431.000, 0.030
432.000, 0.033	432.000, 0.032	432.000, 0.030	432.000, 0.031	432.000, 0.031
433.000, 0.034	433.000, 0.032	433.000, 0.031	433.000, 0.032	433.000, 0.031
434.000, 0.034	434.000, 0.032	434.000, 0.031	434.000, 0.032	434.000, 0.031
435.000, 0.035	435.000, 0.033	435.000, 0.031	435.000, 0.032	435.000, 0.032
436.000, 0.035	436.000, 0.033	436.000, 0.032	436.000, 0.033	436.000, 0.032
437.000, 0.035	437.000, 0.033	437.000, 0.032	437.000, 0.033	437.000, 0.032
438.000, 0.035	438.000, 0.033	438.000, 0.032	438.000, 0.033	438.000, 0.032
439.000, 0.035	439.000, 0.034	439.000, 0.032	439.000, 0.033	439.000, 0.032
440.000, 0.036	440.000, 0.034	440.000, 0.032	440.000, 0.033	440.000, 0.033
441.000, 0.036	441.000, 0.034	441.000, 0.032	441.000, 0.034	441.000, 0.033
442.000, 0.036	442.000, 0.034	442.000, 0.033	442.000, 0.034	442.000, 0.033
443.000, 0.036	443.000, 0.035	443.000, 0.033	443.000, 0.034	443.000, 0.033
444.000, 0.037	444.000, 0.035	444.000, 0.034	444.000, 0.035	444.000, 0.034
445.000, 0.037	445.000, 0.035	445.000, 0.034	445.000, 0.035	445.000, 0.034
446.000, 0.037	446.000, 0.035	446.000, 0.034	446.000, 0.035	446.000, 0.034
447.000, 0.037	447.000, 0.035	447.000, 0.034	447.000, 0.035	447.000, 0.034
448.000, 0.037	448.000, 0.036	448.000, 0.034	448.000, 0.035	448.000, 0.034
449.000, 0.038	449.000, 0.036	449.000, 0.035	449.000, 0.036	449.000, 0.035
450.000, 0.038	450.000, 0.036	450.000, 0.035	450.000, 0.036	450.000, 0.035
451.000, 0.039	451.000, 0.036	451.000, 0.035	451.000, 0.036	451.000, 0.035
452.000, 0.039	452.000, 0.037	452.000, 0.035	452.000, 0.036	452.000, 0.035
453.000, 0.039	453.000, 0.037	453.000, 0.035	453.000, 0.037	453.000, 0.036
454.000, 0.039	454.000, 0.037	454.000, 0.036	454.000, 0.037	454.000, 0.036
455.000, 0.039	455.000, 0.037	455.000, 0.036	455.000, 0.037	455.000, 0.036
456.000, 0.040	456.000, 0.038	456.000, 0.037	456.000, 0.037	456.000, 0.037
457.000, 0.040	457.000, 0.038	457.000, 0.037	457.000, 0.038	457.000, 0.037
458.000, 0.040	458.000, 0.038	458.000, 0.037	458.000, 0.038	458.000, 0.037
459.000, 0.040	459.000, 0.038	459.000, 0.037	459.000, 0.038	459.000, 0.037
460.000, 0.041	460.000, 0.039	460.000, 0.037	460.000, 0.039	460.000, 0.037
461.000, 0.041	461.000, 0.039	461.000, 0.038	461.000, 0.039	461.000, 0.038
462.000, 0.041	462.000, 0.039	462.000, 0.038	462.000, 0.039	462.000, 0.038
463.000, 0.041	463.000, 0.039	463.000, 0.038	463.000, 0.039	463.000, 0.038
464.000, 0.041	464.000, 0.039	464.000, 0.038	464.000, 0.039	464.000, 0.038
465.000, 0.042	465.000, 0.039	465.000, 0.038	465.000, 0.039	465.000, 0.038
466.000, 0.042	466.000, 0.040	466.000, 0.039	466.000, 0.040	466.000, 0.039
467.000, 0.043	467.000, 0.041	467.000, 0.039	467.000, 0.040	467.000, 0.039
468.000, 0.043	468.000, 0.041	468.000, 0.039	468.000, 0.041	468.000, 0.039
469.000, 0.043	469.000, 0.040	469.000, 0.039	469.000, 0.041	469.000, 0.039
470.000, 0.043	470.000, 0.041	470.000, 0.039	470.000, 0.041	470.000, 0.040
471.000, 0.044	471.000, 0.041	471.000, 0.040	471.000, 0.042	471.000, 0.040
472.000, 0.044	472.000, 0.041	472.000, 0.040	472.000, 0.042	472.000, 0.040
473.000, 0.044	473.000, 0.042	473.000, 0.040	473.000, 0.042	473.000, 0.040
474.000, 0.045	474.000, 0.042	474.000, 0.040	474.000, 0.042	474.000, 0.041
475.000, 0.045	475.000, 0.042	475.000, 0.041	475.000, 0.042	475.000, 0.041
476.000, 0.045	476.000, 0.042	476.000, 0.041	476.000, 0.043	476.000, 0.041
477.000, 0.045	477.000, 0.042	477.000, 0.041	477.000, 0.043	477.000, 0.041
478.000, 0.045	478.000, 0.043	478.000, 0.041	478.000, 0.043	478.000, 0.041
479.000, 0.046	479.000, 0.043	479.000, 0.042	479.000, 0.043	479.000, 0.042
480.000, 0.046	480.000, 0.043	480.000, 0.042	480.000, 0.044	480.000, 0.043
481.000, 0.046	481.000, 0.044	481.000, 0.043	481.000, 0.044	481.000, 0.043
482.000, 0.047	482.000, 0.044	482.000, 0.043	482.000, 0.044	482.000, 0.043
483.000, 0.047	483.000, 0.044	483.000, 0.043	483.000, 0.044	483.000, 0.043
484.000, 0.047	484.000, 0.044	484.000, 0.043	484.000, 0.045	484.000, 0.043
485.000, 0.047	485.000, 0.044	485.000, 0.043	485.000, 0.045	485.000, 0.043
486.000, 0.047	486.000, 0.045	486.000, 0.043	486.000, 0.045	486.000, 0.044
487.000, 0.048	487.000, 0.045	487.000, 0.043	487.000, 0.046	487.000, 0.044
488.000, 0.048	488.000, 0.045	488.000, 0.044	488.000, 0.046	488.000, 0.044
489.000, 0.048	489.000, 0.045	489.000, 0.044	489.000, 0.046	489.000, 0.044
490.000, 0.048	490.000, 0.046	490.000, 0.044	490.000, 0.046	490.000, 0.045
491.000, 0.049	491.000, 0.046	491.000, 0.045	491.000, 0.047	491.000, 0.045
492.000, 0.049	492.000, 0.046	492.000, 0.045	492.000, 0.047	492.000, 0.045
493.000, 0.050	493.000, 0.046	493.000, 0.046	493.000, 0.047	493.000, 0.046
494.000, 0.050	494.000, 0.047	494.000, 0.046	494.000, 0.048	494.000, 0.046
495.000, 0.050	495.000, 0.047	495.000, 0.046	495.000, 0.048	495.000, 0.046
496.000, 0.050	496.000, 0.047	496.000, 0.046	496.000, 0.048	496.000, 0.046
497.000, 0.051	497.000, 0.047	497.000, 0.046	497.000, 0.048	497.000, 0.047
498.000, 0.051	498.000, 0.048	498.000, 0.047	498.000, 0.049	498.000, 0.047
499.000, 0.051	499.000, 0.048	499.000, 0.047	499.000, 0.049	499.000, 0.047
500.000, 0.052	500.000, 0.048	500.000, 0.047	500.000, 0.049	500.000, 0.048
501.000, 0.052	501.000, 0.049	501.000, 0.047	501.000, 0.050	501.000, 0.048
502.000, 0.052	502.000, 0.049	502.000, 0.048	502.000, 0.050	502.000, 0.048
503.000, 0.053	503.000, 0.049	503.000, 0.048	503.000, 0.050	503.000, 0.049
504.000, 0.053	504.000, 0.050	504.000, 0.048	504.000, 0.051	504.000, 0.049
505.000, 0.054	505.000, 0.050	505.000, 0.049	505.000, 0.051	505.000, 0.050
506.000, 0.054	506.000, 0.050	506.000, 0.049	506.000, 0.052	506.000, 0.050
507.000, 0.054	507.000, 0.050	507.000, 0.049	507.000, 0.052	507.000, 0.050
508.000, 0.054	508.000, 0.051	508.000, 0.050	508.000, 0.052	508.000, 0.050
509.000, 0.055	509.000, 0.051	509.000, 0.050	509.000, 0.052	509.000, 0.051
510.000, 0.055	510.000, 0.051	510.000, 0.050	510.000, 0.053	510.000, 0.051
511.000, 0.055	511.000, 0.051	511.000, 0.051	511.000, 0.053	511.000, 0.051
512.000, 0.056	512.000, 0.052	512.000, 0.051	512.000, 0.053	512.000, 0.051
513.000, 0.056	513.000, 0.052	513.000, 0.051	513.000, 0.054	513.000, 0.052
514.000, 0.057	514.000, 0.053	514.000, 0.052	514.000, 0.054	514.000, 0.053
515.000, 0.057	515.000, 0.054	515.000, 0.052	515.000, 0.055	515.000, 0.053
516.000, 0.058	516.000, 0.054	516.000, 0.053	516.000, 0.055	516.000, 0.053
517.000, 0.058	517.000, 0.054	517.000, 0.053	517.000, 0.055	517.000, 0.053
518.000, 0.059	518.000, 0.055	518.000, 0.053	518.000, 0.056	518.000, 0.054
519.000, 0.059	519.000, 0.055	519.000, 0.054	519.000, 0.056	519.000, 0.054
520.000, 0.059	520.000, 0.055	520.000, 0.054	520.000, 0.057	520.000, 0.055
521.000, 0.060	521.000, 0.056	521.000, 0.054	521.000, 0.057	521.000, 0.055
522.000, 0.060	522.000, 0.056	522.000, 0.055	522.000, 0.057	522.000, 0.055
523.000, 0.060	523.000, 0.056	523.000, 0.055	523.000, 0.058	523.000, 0.056
524.000, 0.061	524.000, 0.057	524.000, 0.056	524.000, 0.058	524.000, 0.056
525.000, 0.062	525.000, 0.057	525.000, 0.056	525.000, 0.059	525.000, 0.057
526.000, 0.062	526.000, 0.058	526.000, 0.057	526.000, 0.059	526.000, 0.057
527.000, 0.062	527.000, 0.058	527.000, 0.057	527.000, 0.060	527.000, 0.058
528.000, 0.063	528.000, 0.059	528.000, 0.057	528.000, 0.060	528.000, 0.058
529.000, 0.063	529.000, 0.059	529.000, 0.058	529.000, 0.061	529.000, 0.058
530.000, 0.064	530.000, 0.059	530.000, 0.058	530.000, 0.061	530.000, 0.059
531.000, 0.064	531.000, 0.060	531.000, 0.058	531.000, 0.061	531.000, 0.059
532.000, 0.064	532.000, 0.060	532.000, 0.059	532.000, 0.061	532.000, 0.060
533.000, 0.065	533.000, 0.060	533.000, 0.059	533.000, 0.062	533.000, 0.060
534.000, 0.065	534.000, 0.060	534.000, 0.059	534.000, 0.062	534.000, 0.060
535.000, 0.065	535.000, 0.061	535.000, 0.060	535.000, 0.062	535.000, 0.060
536.000, 0.066	536.000, 0.062	536.000, 0.060	536.000, 0.063	536.000, 0.061
537.000, 0.066	537.000, 0.062	537.000, 0.060	537.000, 0.063	537.000, 0.061
538.000, 0.067	538.000, 0.062	538.000, 0.061	538.000, 0.064	538.000, 0.061
539.000, 0.067	539.000, 0.062	539.000, 0.061	539.000, 0.064	539.000, 0.062
540.000, 0.067	540.000, 0.062	540.000, 0.061	540.000, 0.064	540.000, 0.062
541.000, 0.068	541.000, 0.063	541.000, 0.062	541.000, 0.065	541.000, 0.063
542.000, 0.068	542.000, 0.064	542.000, 0.062	542.000, 0.065	542.000, 0.063
543.000, 0.069	543.000, 0.064	543.000, 0.062	543.000, 0.066	543.000, 0.063
544.000, 0.069	544.000, 0.064	544.000, 0.063	544.000, 0.066	544.000, 0.064
545.000, 0.069	545.000, 0.064	545.000, 0.063	545.000, 0.066	545.000, 0.064
546.000, 0.069	546.000, 0.064	546.000, 0.063	546.000, 0.066	546.000, 0.064
547.000, 0.070	547.000, 0.065	547.000, 0.064	547.000, 0.067	547.000, 0.065
548.000, 0.070	548.000, 0.065	548.000, 0.064	548.000, 0.067	548.000, 0.065
549.000, 0.070	549.000, 0.065	549.000, 0.064	549.000, 0.067	549.000, 0.065
550.000, 0.071	550.000, 0.066	550.000, 0.064	550.000, 0.068	550.000, 0.066
551.000, 0.071	551.000, 0.066	551.000, 0.065	551.000, 0.068	551.000, 0.066
552.000, 0.071	552.000, 0.066	552.000, 0.065	552.000, 0.069	552.000, 0.067
553.000, 0.072	553.000, 0.067	553.000, 0.066	553.000, 0.069	553.000, 0.067
554.000, 0.072	554.000, 0.067	554.000, 0.066	554.000, 0.069	554.000, 0.067
555.000, 0.073	555.000, 0.067	555.000, 0.066	555.000, 0.070	555.000, 0.067
556.000, 0.073	556.000, 0.068	556.000, 0.067	556.000, 0.070	556.000, 0.068
557.000, 0.073	557.000, 0.068	557.000, 0.067	557.000, 0.070	557.000, 0.068
558.000, 0.073	558.000, 0.068	558.000, 0.067	558.000, 0.070	558.000, 0.068
559.000, 0.074	559.000, 0.068	559.000, 0.067	559.000, 0.071	559.000, 0.069
560.000, 0.074	560.000, 0.068	560.000, 0.067	560.000, 0.071	560.000, 0.069
561.000, 0.074	561.000, 0.069	561.000, 0.068	561.000, 0.071	561.000, 0.069
562.000, 0.075	562.000, 0.069	562.000, 0.068	562.000, 0.072	562.000, 0.070
563.000, 0.075	563.000, 0.069	563.000, 0.069	563.000, 0.072	563.000, 0.070
564.000, 0.075	564.000, 0.070	564.000, 0.069	564.000, 0.073	564.000, 0.070
565.000, 0.075	565.000, 0.070	565.000, 0.069	565.000, 0.073	565.000, 0.071
566.000, 0.075	566.000, 0.070	566.000, 0.069	566.000, 0.073	566.000, 0.071
567.000, 0.076	567.000, 0.070	567.000, 0.070	567.000, 0.073	567.000, 0.071
568.000, 0.076	568.000, 0.071	568.000, 0.070	568.000, 0.074	568.000, 0.071
569.000, 0.076	569.000, 0.071	569.000, 0.070	569.000, 0.074	569.000, 0.071
570.000, 0.077	570.000, 0.071	570.000, 0.071	570.000, 0.074	570.000, 0.072
571.000, 0.077	571.000, 0.071	571.000, 0.071	571.000, 0.075	571.000, 0.072
572.000, 0.077	572.000, 0.072	572.000, 0.071	572.000, 0.075	572.000, 0.072
573.000, 0.078	573.000, 0.072	573.000, 0.071	573.000, 0.075	573.000, 0.073
574.000, 0.078	574.000, 0.072	574.000, 0.072	574.000, 0.076	574.000, 0.073
575.000, 0.078	575.000, 0.072	575.000, 0.072	575.000, 0.076	575.000, 0.073
576.000, 0.078	576.000, 0.072	576.000, 0.072	576.000, 0.076	576.000, 0.073
577.000, 0.079	577.000, 0.073	577.000, 0.072	577.000, 0.077	577.000, 0.074
578.000, 0.079	578.000, 0.073	578.000, 0.073	578.000, 0.077	578.000, 0.074
579.000, 0.079	579.000, 0.073	579.000, 0.073	579.000, 0.077	579.000, 0.074
580.000, 0.079	580.000, 0.073	580.000, 0.073	580.000, 0.078	580.000, 0.075
581.000, 0.080	581.000, 0.073	581.000, 0.073	581.000, 0.078	581.000, 0.075
582.000, 0.080	582.000, 0.073	582.000, 0.073	582.000, 0.078	582.000, 0.075
583.000, 0.080	583.000, 0.074	583.000, 0.074	583.000, 0.078	583.000, 0.075
584.000, 0.080	584.000, 0.074	584.000, 0.074	584.000, 0.079	584.000, 0.076
585.000, 0.080	585.000, 0.074	585.000, 0.074	585.000, 0.079	585.000, 0.076
586.000, 0.080	586.000, 0.074	586.000, 0.074	586.000, 0.079	586.000, 0.076
587.000, 0.080	587.000, 0.074	587.000, 0.074	587.000, 0.079	587.000, 0.076
588.000, 0.081	588.000, 0.075	588.000, 0.074	588.000, 0.079	588.000, 0.077
589.000, 0.081	589.000, 0.075	589.000, 0.075	589.000, 0.079	589.000, 0.077
590.000, 0.082	590.000, 0.075	590.000, 0.075	590.000, 0.079	590.000, 0.077
591.000, 0.082	591.000, 0.075	591.000, 0.075	591.000, 0.079	591.000, 0.077
592.000, 0.082	592.000, 0.076	592.000, 0.075	592.000, 0.079	592.000, 0.078
593.000, 0.082	593.000, 0.076	593.000, 0.075	593.000, 0.079	593.000, 0.078
594.000, 0.082	594.000, 0.076	594.000, 0.075	594.000, 0.079	594.000, 0.078
595.000, 0.083	595.000, 0.076	595.000, 0.076	595.000, 0.080	595.000, 0.078
596.000, 0.083	596.000, 0.077	596.000, 0.076	596.000, 0.080	596.000, 0.079
597.000, 0.083	597.000, 0.077	597.000, 0.076	597.000, 0.081	597.000, 0.079
598.000, 0.084	598.000, 0.077	598.000, 0.077	598.000, 0.081	598.000, 0.079
599.000, 0.084	599.000, 0.077	599.000, 0.077	599.000, 0.082	599.000, 0.079
600.000, 0.084	600.000, 0.077	600.000, 0.078	600.000, 0.082	600.000, 0.079
601.000, 0.084	601.000, 0.078	601.000, 0.078	601.000, 0.083	601.000, 0.080
602.000, 0.085	602.000, 0.078	602.000, 0.079	602.000, 0.084	602.000, 0.081
603.000, 0.085	603.000, 0.078	603.000, 0.079	603.000, 0.084	603.000, 0.081
604.000, 0.085	604.000, 0.078	604.000, 0.079	604.000, 0.085	604.000, 0.081
605.000, 0.085	605.000, 0.078	605.000, 0.079	605.000, 0.085	605.000, 0.081
606.000, 0.086	606.000, 0.079	606.000, 0.080	606.000, 0.085	606.000, 0.082
607.000, 0.086	607.000, 0.080	607.000, 0.080	607.000, 0.086	607.000, 0.082
608.000, 0.087	608.000, 0.079	608.000, 0.080	608.000, 0.085	608.000, 0.082
609.000, 0.087	609.000, 0.080	609.000, 0.081	609.000, 0.086	609.000, 0.083
610.000, 0.087	610.000, 0.080	610.000, 0.081	610.000, 0.086	610.000, 0.083
611.000, 0.088	611.000, 0.080	611.000, 0.081	611.000, 0.087	611.000, 0.083
612.000, 0.088	612.000, 0.081	612.000, 0.081	612.000, 0.087	612.000, 0.084
613.000, 0.088	613.000, 0.081	613.000, 0.081	613.000, 0.087	613.000, 0.084
614.000, 0.088	614.000, 0.081	614.000, 0.082	614.000, 0.087	614.000, 0.084
615.000, 0.089	615.000, 0.081	615.000, 0.082	615.000, 0.088	615.000, 0.085
616.000, 0.089	616.000, 0.082	616.000, 0.082	616.000, 0.088	616.000, 0.085
617.000, 0.090	617.000, 0.082	617.000, 0.083	617.000, 0.088	617.000, 0.085
618.000, 0.090	618.000, 0.082	618.000, 0.083	618.000, 0.088	618.000, 0.086
619.000, 0.090	619.000, 0.082	619.000, 0.083	619.000, 0.089	619.000, 0.086
620.000, 0.090	620.000, 0.083	620.000, 0.084	620.000, 0.089	620.000, 0.086
621.000, 0.091	621.000, 0.083	621.000, 0.084	621.000, 0.090	621.000, 0.087
622.000, 0.091	622.000, 0.083	622.000, 0.084	622.000, 0.090	622.000, 0.087
623.000, 0.091	623.000, 0.083	623.000, 0.084	623.000, 0.090	623.000, 0.087
624.000, 0.091	624.000, 0.084	624.000, 0.085	624.000, 0.090	624.000, 0.087
625.000, 0.092	625.000, 0.084	625.000, 0.085	625.000, 0.090	625.000, 0.088
626.000, 0.092	626.000, 0.084	626.000, 0.085	626.000, 0.091	626.000, 0.088
627.000, 0.092	627.000, 0.085	627.000, 0.086	627.000, 0.092	627.000, 0.089
628.000, 0.093	628.000, 0.085	628.000, 0.086	628.000, 0.092	628.000, 0.089
629.000, 0.093	629.000, 0.085	629.000, 0.086	629.000, 0.092	629.000, 0.089
630.000, 0.094	630.000, 0.085	630.000, 0.086	630.000, 0.092	630.000, 0.089
631.000, 0.094	631.000, 0.086	631.000, 0.087	631.000, 0.093	631.000, 0.090
632.000, 0.094	632.000, 0.086	632.000, 0.087	632.000, 0.093	632.000, 0.090
633.000, 0.095	633.000, 0.086	633.000, 0.087	633.000, 0.094	633.000, 0.091
634.000, 0.095	634.000, 0.087	634.000, 0.088	634.000, 0.094	634.000, 0.091
