325.000, 0.012	325.000, 0.017	325.000, 0.000
389.000, 0.017	389.000, 0.019	389.000, 0.013
390.000, 0.019	390.000, 0.020	390.000, 0.014
391.000, 0.019	391.000, 0.019	391.000, 0.014
392.000, 0.019	392.000, 0.019	392.000, 0.013
393.000, 0.021	393.000, 0.020	393.000, 0.015
394.000, 0.021	394.000, 0.022	394.000, 0.017
395.000, 0.020	395.000, 0.023	395.000, 0.018
396.000, 0.021	396.000, 0.022	396.000, 0.017
397.000, 0.021	397.000, 0.022	397.000, 0.016
398.000, 0.021	398.000, 0.022	398.000, 0.016
399.000, 0.021	399.000, 0.022	399.000, 0.016
400.000, 0.022	400.000, 0.022	400.000, 0.018
401.000, 0.024	401.000, 0.024	401.000, 0.018
402.000, 0.023	402.000, 0.024	402.000, 0.018
403.000, 0.023	403.000, 0.024	403.000, 0.018
404.000, 0.024	404.000, 0.024	404.000, 0.019
405.000, 0.024	405.000, 0.025	405.000, 0.019
406.000, 0.024	406.000, 0.025	406.000, 0.018
407.000, 0.025	407.000, 0.026	407.000, 0.019
408.000, 0.026	408.000, 0.027	408.000, 0.020
409.000, 0.026	409.000, 0.027	409.000, 0.021
410.000, 0.026	410.000, 0.027	410.000, 0.021
411.000, 0.026	411.000, 0.028	411.000, 0.021
412.000, 0.027	412.000, 0.028	412.000, 0.021
413.000, 0.028	413.000, 0.028	413.000, 0.021
414.000, 0.028	414.000, 0.029	414.000, 0.021
415.000, 0.028	415.000, 0.029	415.000, 0.022
416.000, 0.029	416.000, 0.029	416.000, 0.022
417.000, 0.029	417.000, 0.029	417.000, 0.023
418.000, 0.030	418.000, 0.030	418.000, 0.023
419.000, 0.030	419.000, 0.030	419.000, 0.023
420.000, 0.030	420.000, 0.030	420.000, 0.023
421.000, 0.030	421.000, 0.031	421.000, 0.023
422.000, 0.031	422.000, 0.031	422.000, 0.024
423.000, 0.031	423.000, 0.032	423.000, 0.024
424.000, 0.031	424.000, 0.032	424.000, 0.024
425.000, 0.031	425.000, 0.032	425.000, 0.024
426.000, 0.032	426.000, 0.032	426.000, 0.025
427.000, 0.032	427.000, 0.033	427.000, 0.025
428.000, 0.032	428.000, 0.033	428.000, 0.025
429.000, 0.032	429.000, 0.033	429.000, 0.025
430.000, 0.032	430.000, 0.033	430.000, 0.026
431.000, 0.033	431.000, 0.033	431.000, 0.026
432.000, 0.033	432.000, 0.034	432.000, 0.026
433.000, 0.034	433.000, 0.034	433.000, 0.027
434.000, 0.034	434.000, 0.034	434.000, 0.027
435.000, 0.034	435.000, 0.034	435.000, 0.027
436.000, 0.034	436.000, 0.034	436.000, 0.028
437.000, 0.034	437.000, 0.035	437.000, 0.027
438.000, 0.034	438.000, 0.035	438.000, 0.027
439.000, 0.034	439.000, 0.035	439.000, 0.027
440.000, 0.035	440.000, 0.036	440.000, 0.028
441.000, 0.035	441.000, 0.036	441.000, 0.029
442.000, 0.036	442.000, 0.036	442.000, 0.029
443.000, 0.035	443.000, 0.036	443.000, 0.029
444.000, 0.035	444.000, 0.036	444.000, 0.029
445.000, 0.036	445.000, 0.036	445.000, 0.029
446.000, 0.036	446.000, 0.037	446.000, 0.029
447.000, 0.036	447.000, 0.037	447.000, 0.029
448.000, 0.036	448.000, 0.037	448.000, 0.030
449.000, 0.037	449.000, 0.037	449.000, 0.030
450.000, 0.037	450.000, 0.037	450.000, 0.030
451.000, 0.037	451.000, 0.038	451.000, 0.030
452.000, 0.037	452.000, 0.038	452.000, 0.030
453.000, 0.037	453.000, 0.038	453.000, 0.030
454.000, 0.038	454.000, 0.038	454.000, 0.031
455.000, 0.038	455.000, 0.038	455.000, 0.031
456.000, 0.038	456.000, 0.039	456.000, 0.031
457.000, 0.038	457.000, 0.039	457.000, 0.031
458.000, 0.038	458.000, 0.039	458.000, 0.032
459.000, 0.039	459.000, 0.039	459.000, 0.032
460.000, 0.039	460.000, 0.040	460.000, 0.032
461.000, 0.039	461.000, 0.040	461.000, 0.032
462.000, 0.039	462.000, 0.040	462.000, 0.032
463.000, 0.039	463.000, 0.040	463.000, 0.033
464.000, 0.040	464.000, 0.040	464.000, 0.033
465.000, 0.040	465.000, 0.040	465.000, 0.033
466.000, 0.040	466.000, 0.040	466.000, 0.033
467.000, 0.040	467.000, 0.040	467.000, 0.033
468.000, 0.040	468.000, 0.041	468.000, 0.033
469.000, 0.040	469.000, 0.040	469.000, 0.033
470.000, 0.040	470.000, 0.040	470.000, 0.033
471.000, 0.040	471.000, 0.041	471.000, 0.033
472.000, 0.040	472.000, 0.041	472.000, 0.034
473.000, 0.041	473.000, 0.041	473.000, 0.034
474.000, 0.041	474.000, 0.041	474.000, 0.034
475.000, 0.041	475.000, 0.042	475.000, 0.034
476.000, 0.041	476.000, 0.042	476.000, 0.034
477.000, 0.041	477.000, 0.042	477.000, 0.034
478.000, 0.041	478.000, 0.042	478.000, 0.034
479.000, 0.041	479.000, 0.042	479.000, 0.035
480.000, 0.042	480.000, 0.042	480.000, 0.035
481.000, 0.042	481.000, 0.042	481.000, 0.035
482.000, 0.042	482.000, 0.042	482.000, 0.035
483.000, 0.042	483.000, 0.043	483.000, 0.035
484.000, 0.042	484.000, 0.043	484.000, 0.036
485.000, 0.042	485.000, 0.043	485.000, 0.036
486.000, 0.043	486.000, 0.043	486.000, 0.036
487.000, 0.043	487.000, 0.044	487.000, 0.036
488.000, 0.043	488.000, 0.044	488.000, 0.036
489.000, 0.043	489.000, 0.044	489.000, 0.037
490.000, 0.043	490.000, 0.044	490.000, 0.037
491.000, 0.043	491.000, 0.044	491.000, 0.037
492.000, 0.043	492.000, 0.044	492.000, 0.037
493.000, 0.044	493.000, 0.045	493.000, 0.037
494.000, 0.044	494.000, 0.045	494.000, 0.037
495.000, 0.045	495.000, 0.045	495.000, 0.038
496.000, 0.045	496.000, 0.045	496.000, 0.038
497.000, 0.045	497.000, 0.046	497.000, 0.038
498.000, 0.045	498.000, 0.046	498.000, 0.038
499.000, 0.046	499.000, 0.046	499.000, 0.039
500.000, 0.046	500.000, 0.047	500.000, 0.039
501.000, 0.046	501.000, 0.048	501.000, 0.039
502.000, 0.047	502.000, 0.048	502.000, 0.040
503.000, 0.048	503.000, 0.049	503.000, 0.040
504.000, 0.048	504.000, 0.050	504.000, 0.041
505.000, 0.049	505.000, 0.050	505.000, 0.041
506.000, 0.049	506.000, 0.051	506.000, 0.042
507.000, 0.050	507.000, 0.052	507.000, 0.042
508.000, 0.051	508.000, 0.052	508.000, 0.043
509.000, 0.052	509.000, 0.053	509.000, 0.043
510.000, 0.052	510.000, 0.054	510.000, 0.044
511.000, 0.053	511.000, 0.055	511.000, 0.045
512.000, 0.054	512.000, 0.056	512.000, 0.046
513.000, 0.055	513.000, 0.057	513.000, 0.046
514.000, 0.057	514.000, 0.058	514.000, 0.047
515.000, 0.058	515.000, 0.060	515.000, 0.048
516.000, 0.059	516.000, 0.061	516.000, 0.048
517.000, 0.060	517.000, 0.063	517.000, 0.049
518.000, 0.061	518.000, 0.064	518.000, 0.050
519.000, 0.063	519.000, 0.066	519.000, 0.052
520.000, 0.065	520.000, 0.068	520.000, 0.053
521.000, 0.066	521.000, 0.069	521.000, 0.054
522.000, 0.067	522.000, 0.071	522.000, 0.055
523.000, 0.069	523.000, 0.072	523.000, 0.056
524.000, 0.070	524.000, 0.074	524.000, 0.056
525.000, 0.071	525.000, 0.076	525.000, 0.057
526.000, 0.073	526.000, 0.077	526.000, 0.058
527.000, 0.074	527.000, 0.079	527.000, 0.059
528.000, 0.076	528.000, 0.080	528.000, 0.060
529.000, 0.077	529.000, 0.081	529.000, 0.061
530.000, 0.078	530.000, 0.083	530.000, 0.062
531.000, 0.079	531.000, 0.084	531.000, 0.063
532.000, 0.080	532.000, 0.085	532.000, 0.063
533.000, 0.081	533.000, 0.086	533.000, 0.064
534.000, 0.082	534.000, 0.087	534.000, 0.065
535.000, 0.083	535.000, 0.088	535.000, 0.065
536.000, 0.084	536.000, 0.089	536.000, 0.066
537.000, 0.085	537.000, 0.090	537.000, 0.067
538.000, 0.085	538.000, 0.091	538.000, 0.067
539.000, 0.086	539.000, 0.091	539.000, 0.068
540.000, 0.087	540.000, 0.092	540.000, 0.068
541.000, 0.087	541.000, 0.092	541.000, 0.069
542.000, 0.088	542.000, 0.093	542.000, 0.069
543.000, 0.088	543.000, 0.093	543.000, 0.069
544.000, 0.089	544.000, 0.094	544.000, 0.070
545.000, 0.089	545.000, 0.095	545.000, 0.070
546.000, 0.090	546.000, 0.095	546.000, 0.071
547.000, 0.091	547.000, 0.096	547.000, 0.071
548.000, 0.091	548.000, 0.096	548.000, 0.071
549.000, 0.091	549.000, 0.097	549.000, 0.072
550.000, 0.092	550.000, 0.097	550.000, 0.072
551.000, 0.092	551.000, 0.098	551.000, 0.072
552.000, 0.093	552.000, 0.098	552.000, 0.073
553.000, 0.093	553.000, 0.098	553.000, 0.073
554.000, 0.093	554.000, 0.098	554.000, 0.073
555.000, 0.093	555.000, 0.099	555.000, 0.073
556.000, 0.093	556.000, 0.098	556.000, 0.074
557.000, 0.093	557.000, 0.098	557.000, 0.073
558.000, 0.093	558.000, 0.098	558.000, 0.073
559.000, 0.093	559.000, 0.098	559.000, 0.073
560.000, 0.092	560.000, 0.098	560.000, 0.073
561.000, 0.092	561.000, 0.097	561.000, 0.073
562.000, 0.092	562.000, 0.097	562.000, 0.073
563.000, 0.091	563.000, 0.096	563.000, 0.073
564.000, 0.091	564.000, 0.096	564.000, 0.072
565.000, 0.090	565.000, 0.095	565.000, 0.072
566.000, 0.090	566.000, 0.094	566.000, 0.072
567.000, 0.089	567.000, 0.094	567.000, 0.071
568.000, 0.088	568.000, 0.093	568.000, 0.071
569.000, 0.087	569.000, 0.092	569.000, 0.071
570.000, 0.087	570.000, 0.091	570.000, 0.070
571.000, 0.086	571.000, 0.091	571.000, 0.070
572.000, 0.086	572.000, 0.090	572.000, 0.070
573.000, 0.085	573.000, 0.089	573.000, 0.069
574.000, 0.084	574.000, 0.088	574.000, 0.069
575.000, 0.083	575.000, 0.087	575.000, 0.068
576.000, 0.083	576.000, 0.087	576.000, 0.068
577.000, 0.082	577.000, 0.086	577.000, 0.067
578.000, 0.081	578.000, 0.085	578.000, 0.067
579.000, 0.081	579.000, 0.084	579.000, 0.067
580.000, 0.081	580.000, 0.084	580.000, 0.067
581.000, 0.081	581.000, 0.084	581.000, 0.067
582.000, 0.080	582.000, 0.083	582.000, 0.067
583.000, 0.080	583.000, 0.083	583.000, 0.067
584.000, 0.080	584.000, 0.083	584.000, 0.067
585.000, 0.079	585.000, 0.082	585.000, 0.066
586.000, 0.079	586.000, 0.082	586.000, 0.066
587.000, 0.079	587.000, 0.082	587.000, 0.066
588.000, 0.078	588.000, 0.081	588.000, 0.066
589.000, 0.078	589.000, 0.082	589.000, 0.067
590.000, 0.079	590.000, 0.082	590.000, 0.067
591.000, 0.078	591.000, 0.081	591.000, 0.066
592.000, 0.078	592.000, 0.080	592.000, 0.066
593.000, 0.078	593.000, 0.081	593.000, 0.067
594.000, 0.078	594.000, 0.081	594.000, 0.067
595.000, 0.078	595.000, 0.081	595.000, 0.067
596.000, 0.078	596.000, 0.080	596.000, 0.066
597.000, 0.078	597.000, 0.080	597.000, 0.066
598.000, 0.077	598.000, 0.080	598.000, 0.066
599.000, 0.077	599.000, 0.080	599.000, 0.066
600.000, 0.078	600.000, 0.080	600.000, 0.067
601.000, 0.078	601.000, 0.081	601.000, 0.067
602.000, 0.078	602.000, 0.081	602.000, 0.067
603.000, 0.078	603.000, 0.081	603.000, 0.067
604.000, 0.078	604.000, 0.081	604.000, 0.067
605.000, 0.078	605.000, 0.080	605.000, 0.067
606.000, 0.078	606.000, 0.080	606.000, 0.067
607.000, 0.078	607.000, 0.080	607.000, 0.067
608.000, 0.077	608.000, 0.080	608.000, 0.067
609.000, 0.077	609.000, 0.080	609.000, 0.067
610.000, 0.077	610.000, 0.080	610.000, 0.067
611.000, 0.077	611.000, 0.079	611.000, 0.067
612.000, 0.077	612.000, 0.079	612.000, 0.067
613.000, 0.077	613.000, 0.079	613.000, 0.066
614.000, 0.076	614.000, 0.078	614.000, 0.066
615.000, 0.076	615.000, 0.078	615.000, 0.067
616.000, 0.076	616.000, 0.078	616.000, 0.066
617.000, 0.076	617.000, 0.077	617.000, 0.066
618.000, 0.076	618.000, 0.077	618.000, 0.066
619.000, 0.075	619.000, 0.077	619.000, 0.066
620.000, 0.075	620.000, 0.077	620.000, 0.066
621.000, 0.075	621.000, 0.077	621.000, 0.066
622.000, 0.075	622.000, 0.077	622.000, 0.066
623.000, 0.075	623.000, 0.076	623.000, 0.066
624.000, 0.075	624.000, 0.076	624.000, 0.066
625.000, 0.075	625.000, 0.076	625.000, 0.066
626.000, 0.075	626.000, 0.076	626.000, 0.067
627.000, 0.075	627.000, 0.076	627.000, 0.067
628.000, 0.075	628.000, 0.077	628.000, 0.067
629.000, 0.076	629.000, 0.077	629.000, 0.067
630.000, 0.075	630.000, 0.077	630.000, 0.067
631.000, 0.075	631.000, 0.077	631.000, 0.067
632.000, 0.076	632.000, 0.077	632.000, 0.068
633.000, 0.076	633.000, 0.077	633.000, 0.068
634.000, 0.076	634.000, 0.077	634.000, 0.068
635.000, 0.076	635.000, 0.077	635.000, 0.068
636.000, 0.075	636.000, 0.076	636.000, 0.067
637.000, 0.075	637.000, 0.076	637.000, 0.067
638.000, 0.075	638.000, 0.076	638.000, 0.067
639.000, 0.075	639.000, 0.076	639.000, 0.068
640.000, 0.075	640.000, 0.076	640.000, 0.067
641.000, 0.075	641.000, 0.075	641.000, 0.067
642.000, 0.074	642.000, 0.075	642.000, 0.067
643.000, 0.073	643.000, 0.074	643.000, 0.067
644.000, 0.073	644.000, 0.074	644.000, 0.067
645.000, 0.073	645.000, 0.074	645.000, 0.067
646.000, 0.073	646.000, 0.074	646.000, 0.067
647.000, 0.073	647.000, 0.073	647.000, 0.066
648.000, 0.073	648.000, 0.073	648.000, 0.066
649.000, 0.072	649.000, 0.073	649.000, 0.066
650.000, 0.072	650.000, 0.072	650.000, 0.066
651.000, 0.072	651.000, 0.073	651.000, 0.066
652.000, 0.072	652.000, 0.073	652.000, 0.066
653.000, 0.072	653.000, 0.072	653.000, 0.066
654.000, 0.072	654.000, 0.072	654.000, 0.066
655.000, 0.072	655.000, 0.072	655.000, 0.066
656.000, 0.072	656.000, 0.072	656.000, 0.067
657.000, 0.072	657.000, 0.072	657.000, 0.066
658.000, 0.072	658.000, 0.072	658.000, 0.066
659.000, 0.071	659.000, 0.071	659.000, 0.066
660.000, 0.071	660.000, 0.071	660.000, 0.066
661.000, 0.071	661.000, 0.070	661.000, 0.066
662.000, 0.070	662.000, 0.070	662.000, 0.065
663.000, 0.070	663.000, 0.070	663.000, 0.065
664.000, 0.070	664.000, 0.070	664.000, 0.065
665.000, 0.070	665.000, 0.070	665.000, 0.065
666.000, 0.070	666.000, 0.069	666.000, 0.065
667.000, 0.069	667.000, 0.069	667.000, 0.065
668.000, 0.069	668.000, 0.069	668.000, 0.065
669.000, 0.069	669.000, 0.069	669.000, 0.065
670.000, 0.069	670.000, 0.069	670.000, 0.065
671.000, 0.070	671.000, 0.069	671.000, 0.066
672.000, 0.070	672.000, 0.070	672.000, 0.066
673.000, 0.070	673.000, 0.070	673.000, 0.066
674.000, 0.070	674.000, 0.070	674.000, 0.066
675.000, 0.071	675.000, 0.071	675.000, 0.067
676.000, 0.071	676.000, 0.071	676.000, 0.067
677.000, 0.071	677.000, 0.071	677.000, 0.067
678.000, 0.072	678.000, 0.071	678.000, 0.067
679.000, 0.072	679.000, 0.071	679.000, 0.067
680.000, 0.072	680.000, 0.072	680.000, 0.067
681.000, 0.072	681.000, 0.072	681.000, 0.068
682.000, 0.073	682.000, 0.072	682.000, 0.068
683.000, 0.073	683.000, 0.073	683.000, 0.069
684.000, 0.075	684.000, 0.075	684.000, 0.070
685.000, 0.076	685.000, 0.076	685.000, 0.070
686.000, 0.077	686.000, 0.077	686.000, 0.071
687.000, 0.078	687.000, 0.079	687.000, 0.072
688.000, 0.081	688.000, 0.081	688.000, 0.074
689.000, 0.083	689.000, 0.083	689.000, 0.076
690.000, 0.085	690.000, 0.086	690.000, 0.078
691.000, 0.087	691.000, 0.089	691.000, 0.080
692.000, 0.091	692.000, 0.092	692.000, 0.082
693.000, 0.094	693.000, 0.096	693.000, 0.084
694.000, 0.098	694.000, 0.100	694.000, 0.087
695.000, 0.102	695.000, 0.105	695.000, 0.090
696.000, 0.107	696.000, 0.110	696.000, 0.093
697.000, 0.112	697.000, 0.115	697.000, 0.096
698.000, 0.116	698.000, 0.120	698.000, 0.099
699.000, 0.121	699.000, 0.125	699.000, 0.103
700.000, 0.126	700.000, 0.131	700.000, 0.107
701.000, 0.132	701.000, 0.137	701.000, 0.111
702.000, 0.137	702.000, 0.143	702.000, 0.114
703.000, 0.142	703.000, 0.148	703.000, 0.118
704.000, 0.147	704.000, 0.153	704.000, 0.121
705.000, 0.152	705.000, 0.159	705.000, 0.125
706.000, 0.157	706.000, 0.164	706.000, 0.128
707.000, 0.162	707.000, 0.169	707.000, 0.132
708.000, 0.167	708.000, 0.175	708.000, 0.136
709.000, 0.172	709.000, 0.180	709.000, 0.140
710.000, 0.177	710.000, 0.186	710.000, 0.143
711.000, 0.182	711.000, 0.191	711.000, 0.147
712.000, 0.187	712.000, 0.196	712.000, 0.150
713.000, 0.192	713.000, 0.202	713.000, 0.154
714.000, 0.197	714.000, 0.207	714.000, 0.157
715.000, 0.202	715.000, 0.212	715.000, 0.161
716.000, 0.207	716.000, 0.218	716.000, 0.165
717.000, 0.213	717.000, 0.224	717.000, 0.169
718.000, 0.219	718.000, 0.231	718.000, 0.173
719.000, 0.225	719.000, 0.237	719.000, 0.178
720.000, 0.231	720.000, 0.244	720.000, 0.182
721.000, 0.237	721.000, 0.250	721.000, 0.187
722.000, 0.242	722.000, 0.255	722.000, 0.191
723.000, 0.248	723.000, 0.261	723.000, 0.194
724.000, 0.254	724.000, 0.267	724.000, 0.199
725.000, 0.260	725.000, 0.274	725.000, 0.203
726.000, 0.265	726.000, 0.280	726.000, 0.207
727.000, 0.271	727.000, 0.285	727.000, 0.211
728.000, 0.276	728.000, 0.291	728.000, 0.215
729.000, 0.281	729.000, 0.297	729.000, 0.219
730.000, 0.287	730.000, 0.303	730.000, 0.223
731.000, 0.292	731.000, 0.308	731.000, 0.227
732.000, 0.297	732.000, 0.313	732.000, 0.230
733.000, 0.302	733.000, 0.318	733.000, 0.234
734.000, 0.306	734.000, 0.322	734.000, 0.237
735.000, 0.310	735.000, 0.327	735.000, 0.240
736.000, 0.315	736.000, 0.332	736.000, 0.244
737.000, 0.319	737.000, 0.336	737.000, 0.247
738.000, 0.323	738.000, 0.340	738.000, 0.250
739.000, 0.327	739.000, 0.344	739.000, 0.253
740.000, 0.330	740.000, 0.347	740.000, 0.255
741.000, 0.333	741.000, 0.351	741.000, 0.257
742.000, 0.336	742.000, 0.354	742.000, 0.260
743.000, 0.339	743.000, 0.357	743.000, 0.262
744.000, 0.342	744.000, 0.360	744.000, 0.264
745.000, 0.345	745.000, 0.363	745.000, 0.266
746.000, 0.347	746.000, 0.365	746.000, 0.268
747.000, 0.349	747.000, 0.367	747.000, 0.269
748.000, 0.351	748.000, 0.369	748.000, 0.271
749.000, 0.353	749.000, 0.371	749.000, 0.272
750.000, 0.354	750.000, 0.372	750.000, 0.273
751.000, 0.356	751.000, 0.374	751.000, 0.275
752.000, 0.357	752.000, 0.375	752.000, 0.276
753.000, 0.359	753.000, 0.377	753.000, 0.278
754.000, 0.360	754.000, 0.378	754.000, 0.278
755.000, 0.361	755.000, 0.379	755.000, 0.279
756.000, 0.362	756.000, 0.380	756.000, 0.280
757.000, 0.363	757.000, 0.382	757.000, 0.280
758.000, 0.364	758.000, 0.383	758.000, 0.282
759.000, 0.366	759.000, 0.385	759.000, 0.284
760.000, 0.368	760.000, 0.386	760.000, 0.285
761.000, 0.368	761.000, 0.386	761.000, 0.286
762.000, 0.368	762.000, 0.385	762.000, 0.286
763.000, 0.369	763.000, 0.386	763.000, 0.287
764.000, 0.369	764.000, 0.387	764.000, 0.287
765.000, 0.369	765.000, 0.388	765.000, 0.287
766.000, 0.370	766.000, 0.389	766.000, 0.288
767.000, 0.371	767.000, 0.389	767.000, 0.288
768.000, 0.372	768.000, 0.389	768.000, 0.289
769.000, 0.372	769.000, 0.390	769.000, 0.290
770.000, 0.373	770.000, 0.391	770.000, 0.290
771.000, 0.373	771.000, 0.391	771.000, 0.290
772.000, 0.374	772.000, 0.392	772.000, 0.291
773.000, 0.375	773.000, 0.393	773.000, 0.292
774.000, 0.375	774.000, 0.394	774.000, 0.292
775.000, 0.376	775.000, 0.394	775.000, 0.292
776.000, 0.377	776.000, 0.394	776.000, 0.293
777.000, 0.377	777.000, 0.395	777.000, 0.294
778.000, 0.378	778.000, 0.396	778.000, 0.295
779.000, 0.378	779.000, 0.396	779.000, 0.295
780.000, 0.379	780.000, 0.397	780.000, 0.296
781.000, 0.379	781.000, 0.397	781.000, 0.296
782.000, 0.380	782.000, 0.397	782.000, 0.297
783.000, 0.380	783.000, 0.398	783.000, 0.297
784.000, 0.381	784.000, 0.399	784.000, 0.298
785.000, 0.381	785.000, 0.399	785.000, 0.298
786.000, 0.381	786.000, 0.399	786.000, 0.299
787.000, 0.382	787.000, 0.400	787.000, 0.299
788.000, 0.383	788.000, 0.400	788.000, 0.300
789.000, 0.383	789.000, 0.401	789.000, 0.300
790.000, 0.384	790.000, 0.401	790.000, 0.301
791.000, 0.384	791.000, 0.402	791.000, 0.301
792.000, 0.385	792.000, 0.403	792.000, 0.302
793.000, 0.386	793.000, 0.403	793.000, 0.302
794.000, 0.386	794.000, 0.403	794.000, 0.302
795.000, 0.386	795.000, 0.404	795.000, 0.303
796.000, 0.386	796.000, 0.404	796.000, 0.303
797.000, 0.387	797.000, 0.404	797.000, 0.304
798.000, 0.388	798.000, 0.405	798.000, 0.304
799.000, 0.389	799.000, 0.406	799.000, 0.305
800.000, 0.389	800.000, 0.407	800.000, 0.306
801.000, 0.390	801.000, 0.407	801.000, 0.306
802.000, 0.390	802.000, 0.408	802.000, 0.306
803.000, 0.390	803.000, 0.408	803.000, 0.306
804.000, 0.391	804.000, 0.409	804.000, 0.308
805.000, 0.392	805.000, 0.409	805.000, 0.309
806.000, 0.393	806.000, 0.410	806.000, 0.309
807.000, 0.393	807.000, 0.410	807.000, 0.309
808.000, 0.392	808.000, 0.410	808.000, 0.309
809.000, 0.393	809.000, 0.411	809.000, 0.309
810.000, 0.394	810.000, 0.412	810.000, 0.310
811.000, 0.394	811.000, 0.413	811.000, 0.310
812.000, 0.394	812.000, 0.412	812.000, 0.311
813.000, 0.394	813.000, 0.412	813.000, 0.311
814.000, 0.394	814.000, 0.412	814.000, 0.311
815.000, 0.395	815.000, 0.411	815.000, 0.311
816.000, 0.395	816.000, 0.412	816.000, 0.312
817.000, 0.396	817.000, 0.413	817.000, 0.313
818.000, 0.397	818.000, 0.414	818.000, 0.314
819.000, 0.398	819.000, 0.414	819.000, 0.314
820.000, 0.398	820.000, 0.415	820.000, 0.315
821.000, 0.397	821.000, 0.415	821.000, 0.314
822.000, 0.398	822.000, 0.415	822.000, 0.314
823.000, 0.399	823.000, 0.416	823.000, 0.315
824.000, 0.400	824.000, 0.417	824.000, 0.317
825.000, 0.400	825.000, 0.418	825.000, 0.317
826.000, 0.401	826.000, 0.418	826.000, 0.317
827.000, 0.402	827.000, 0.419	827.000, 0.318
828.000, 0.402	828.000, 0.420	828.000, 0.318
829.000, 0.402	829.000, 0.420	829.000, 0.319
830.000, 0.402	830.000, 0.419	830.000, 0.319
831.000, 0.403	831.000, 0.420	831.000, 0.319
832.000, 0.404	832.000, 0.421	832.000, 0.320
833.000, 0.405	833.000, 0.422	833.000, 0.321
834.000, 0.406	834.000, 0.423	834.000, 0.322
835.000, 0.407	835.000, 0.423	835.000, 0.322
836.000, 0.406	836.000, 0.424	836.000, 0.323
837.000, 0.407	837.000, 0.425	837.000, 0.324
838.000, 0.409	838.000, 0.425	838.000, 0.325
839.000, 0.409	839.000, 0.426	839.000, 0.325
840.000, 0.409	840.000, 0.426	840.000, 0.325
841.000, 0.409	841.000, 0.427	841.000, 0.325
