325.000, 0.126	325.000, 0.116	325.000, 0.134	325.000, 0.176	325.000, 0.104	325.000, 0.124	325.000, 0.568	325.000, 0.156	325.000, 0.151	325.000, 0.155
343.000, 0.129	343.000, 0.129	343.000, 0.140	343.000, 0.187	343.000, 0.101	343.000, 0.131	343.000, 0.534	343.000, 0.153	343.000, 0.151	343.000, 0.166
344.000, 0.126	344.000, 0.127	344.000, 0.139	344.000, 0.184	344.000, 0.101	344.000, 0.131	344.000, 0.532	344.000, 0.153	344.000, 0.152	344.000, 0.165
345.000, 0.125	345.000, 0.125	345.000, 0.139	345.000, 0.184	345.000, 0.101	345.000, 0.130	345.000, 0.530	345.000, 0.151	345.000, 0.152	345.000, 0.166
346.000, 0.125	346.000, 0.125	346.000, 0.140	346.000, 0.186	346.000, 0.100	346.000, 0.129	346.000, 0.527	346.000, 0.149	346.000, 0.152	346.000, 0.166
347.000, 0.126	347.000, 0.128	347.000, 0.142	347.000, 0.188	347.000, 0.098	347.000, 0.130	347.000, 0.526	347.000, 0.151	347.000, 0.153	347.000, 0.167
348.000, 0.127	348.000, 0.130	348.000, 0.143	348.000, 0.188	348.000, 0.099	348.000, 0.132	348.000, 0.524	348.000, 0.152	348.000, 0.154	348.000, 0.167
349.000, 0.127	349.000, 0.131	349.000, 0.143	349.000, 0.189	349.000, 0.100	349.000, 0.134	349.000, 0.522	349.000, 0.152	349.000, 0.154	349.000, 0.167
350.000, 0.128	350.000, 0.131	350.000, 0.144	350.000, 0.190	350.000, 0.100	350.000, 0.134	350.000, 0.520	350.000, 0.151	350.000, 0.155	350.000, 0.168
351.000, 0.128	351.000, 0.131	351.000, 0.144	351.000, 0.190	351.000, 0.100	351.000, 0.134	351.000, 0.518	351.000, 0.150	351.000, 0.155	351.000, 0.168
352.000, 0.129	352.000, 0.131	352.000, 0.143	352.000, 0.190	352.000, 0.101	352.000, 0.135	352.000, 0.516	352.000, 0.150	352.000, 0.155	352.000, 0.167
353.000, 0.129	353.000, 0.133	353.000, 0.145	353.000, 0.191	353.000, 0.101	353.000, 0.136	353.000, 0.514	353.000, 0.150	353.000, 0.156	353.000, 0.169
354.000, 0.128	354.000, 0.133	354.000, 0.146	354.000, 0.192	354.000, 0.101	354.000, 0.136	354.000, 0.512	354.000, 0.149	354.000, 0.155	354.000, 0.170
355.000, 0.127	355.000, 0.132	355.000, 0.146	355.000, 0.190	355.000, 0.100	355.000, 0.135	355.000, 0.510	355.000, 0.146	355.000, 0.155	355.000, 0.167
356.000, 0.128	356.000, 0.132	356.000, 0.147	356.000, 0.191	356.000, 0.100	356.000, 0.136	356.000, 0.506	356.000, 0.146	356.000, 0.154	356.000, 0.168
357.000, 0.129	357.000, 0.133	357.000, 0.148	357.000, 0.193	357.000, 0.100	357.000, 0.136	357.000, 0.501	357.000, 0.146	357.000, 0.154	357.000, 0.169
358.000, 0.126	358.000, 0.132	358.000, 0.148	358.000, 0.192	358.000, 0.099	358.000, 0.135	358.000, 0.499	358.000, 0.144	358.000, 0.154	358.000, 0.167
359.000, 0.126	359.000, 0.131	359.000, 0.148	359.000, 0.191	359.000, 0.098	359.000, 0.135	359.000, 0.497	359.000, 0.143	359.000, 0.154	359.000, 0.167
360.000, 0.128	360.000, 0.132	360.000, 0.150	360.000, 0.192	360.000, 0.097	360.000, 0.137	360.000, 0.495	360.000, 0.143	360.000, 0.154	360.000, 0.169
361.000, 0.128	361.000, 0.135	361.000, 0.151	361.000, 0.194	361.000, 0.099	361.000, 0.138	361.000, 0.494	361.000, 0.143	361.000, 0.154	361.000, 0.170
362.000, 0.127	362.000, 0.136	362.000, 0.151	362.000, 0.195	362.000, 0.100	362.000, 0.138	362.000, 0.491	362.000, 0.144	362.000, 0.154	362.000, 0.170
363.000, 0.128	363.000, 0.136	363.000, 0.151	363.000, 0.195	363.000, 0.100	363.000, 0.139	363.000, 0.488	363.000, 0.143	363.000, 0.153	363.000, 0.169
364.000, 0.127	364.000, 0.135	364.000, 0.152	364.000, 0.195	364.000, 0.100	364.000, 0.140	364.000, 0.485	364.000, 0.142	364.000, 0.153	364.000, 0.169
365.000, 0.128	365.000, 0.135	365.000, 0.154	365.000, 0.196	365.000, 0.099	365.000, 0.141	365.000, 0.483	365.000, 0.140	365.000, 0.154	365.000, 0.170
366.000, 0.128	366.000, 0.136	366.000, 0.156	366.000, 0.197	366.000, 0.099	366.000, 0.142	366.000, 0.482	366.000, 0.140	366.000, 0.155	366.000, 0.171
367.000, 0.128	367.000, 0.137	367.000, 0.157	367.000, 0.197	367.000, 0.099	367.000, 0.144	367.000, 0.482	367.000, 0.140	367.000, 0.155	367.000, 0.172
368.000, 0.127	368.000, 0.138	368.000, 0.158	368.000, 0.197	368.000, 0.100	368.000, 0.144	368.000, 0.481	368.000, 0.139	368.000, 0.155	368.000, 0.171
369.000, 0.128	369.000, 0.139	369.000, 0.159	369.000, 0.199	369.000, 0.100	369.000, 0.144	369.000, 0.478	369.000, 0.139	369.000, 0.155	369.000, 0.171
370.000, 0.128	370.000, 0.140	370.000, 0.160	370.000, 0.199	370.000, 0.100	370.000, 0.144	370.000, 0.476	370.000, 0.138	370.000, 0.155	370.000, 0.171
371.000, 0.128	371.000, 0.140	371.000, 0.161	371.000, 0.198	371.000, 0.100	371.000, 0.144	371.000, 0.474	371.000, 0.136	371.000, 0.155	371.000, 0.171
372.000, 0.127	372.000, 0.141	372.000, 0.162	372.000, 0.200	372.000, 0.100	372.000, 0.145	372.000, 0.471	372.000, 0.135	372.000, 0.155	372.000, 0.172
373.000, 0.128	373.000, 0.141	373.000, 0.164	373.000, 0.201	373.000, 0.101	373.000, 0.147	373.000, 0.468	373.000, 0.135	373.000, 0.156	373.000, 0.173
374.000, 0.128	374.000, 0.142	374.000, 0.165	374.000, 0.202	374.000, 0.101	374.000, 0.147	374.000, 0.466	374.000, 0.135	374.000, 0.156	374.000, 0.172
375.000, 0.128	375.000, 0.143	375.000, 0.167	375.000, 0.203	375.000, 0.102	375.000, 0.149	375.000, 0.464	375.000, 0.135	375.000, 0.157	375.000, 0.173
376.000, 0.129	376.000, 0.144	376.000, 0.169	376.000, 0.204	376.000, 0.102	376.000, 0.151	376.000, 0.462	376.000, 0.135	376.000, 0.157	376.000, 0.174
377.000, 0.128	377.000, 0.145	377.000, 0.171	377.000, 0.204	377.000, 0.103	377.000, 0.152	377.000, 0.459	377.000, 0.134	377.000, 0.157	377.000, 0.174
378.000, 0.129	378.000, 0.146	378.000, 0.174	378.000, 0.205	378.000, 0.105	378.000, 0.154	378.000, 0.457	378.000, 0.134	378.000, 0.157	378.000, 0.174
379.000, 0.129	379.000, 0.148	379.000, 0.176	379.000, 0.207	379.000, 0.105	379.000, 0.155	379.000, 0.456	379.000, 0.133	379.000, 0.157	379.000, 0.175
380.000, 0.129	380.000, 0.147	380.000, 0.176	380.000, 0.208	380.000, 0.105	380.000, 0.155	380.000, 0.454	380.000, 0.131	380.000, 0.157	380.000, 0.176
381.000, 0.128	381.000, 0.148	381.000, 0.178	381.000, 0.208	381.000, 0.104	381.000, 0.156	381.000, 0.451	381.000, 0.129	381.000, 0.157	381.000, 0.175
382.000, 0.129	382.000, 0.149	382.000, 0.181	382.000, 0.209	382.000, 0.105	382.000, 0.158	382.000, 0.448	382.000, 0.129	382.000, 0.158	382.000, 0.174
383.000, 0.129	383.000, 0.150	383.000, 0.184	383.000, 0.211	383.000, 0.106	383.000, 0.160	383.000, 0.445	383.000, 0.129	383.000, 0.158	383.000, 0.175
384.000, 0.129	384.000, 0.151	384.000, 0.186	384.000, 0.213	384.000, 0.108	384.000, 0.161	384.000, 0.442	384.000, 0.128	384.000, 0.158	384.000, 0.177
385.000, 0.130	385.000, 0.155	385.000, 0.191	385.000, 0.214	385.000, 0.110	385.000, 0.164	385.000, 0.441	385.000, 0.129	385.000, 0.160	385.000, 0.179
386.000, 0.131	386.000, 0.157	386.000, 0.196	386.000, 0.216	386.000, 0.113	386.000, 0.167	386.000, 0.439	386.000, 0.129	386.000, 0.161	386.000, 0.180
387.000, 0.131	387.000, 0.159	387.000, 0.200	387.000, 0.219	387.000, 0.115	387.000, 0.171	387.000, 0.438	387.000, 0.129	387.000, 0.161	387.000, 0.181
388.000, 0.131	388.000, 0.161	388.000, 0.203	388.000, 0.220	388.000, 0.115	388.000, 0.173	388.000, 0.437	388.000, 0.128	388.000, 0.161	388.000, 0.182
389.000, 0.131	389.000, 0.162	389.000, 0.208	389.000, 0.221	389.000, 0.117	389.000, 0.175	389.000, 0.435	389.000, 0.127	389.000, 0.162	389.000, 0.183
390.000, 0.134	390.000, 0.164	390.000, 0.212	390.000, 0.223	390.000, 0.120	390.000, 0.178	390.000, 0.434	390.000, 0.128	390.000, 0.164	390.000, 0.184
391.000, 0.133	391.000, 0.165	391.000, 0.217	391.000, 0.224	391.000, 0.121	391.000, 0.181	391.000, 0.432	391.000, 0.128	391.000, 0.165	391.000, 0.185
392.000, 0.132	392.000, 0.167	392.000, 0.221	392.000, 0.226	392.000, 0.123	392.000, 0.184	392.000, 0.431	392.000, 0.128	392.000, 0.165	392.000, 0.187
393.000, 0.133	393.000, 0.170	393.000, 0.225	393.000, 0.229	393.000, 0.124	393.000, 0.186	393.000, 0.428	393.000, 0.127	393.000, 0.166	393.000, 0.188
394.000, 0.134	394.000, 0.172	394.000, 0.231	394.000, 0.231	394.000, 0.127	394.000, 0.190	394.000, 0.425	394.000, 0.127	394.000, 0.166	394.000, 0.189
395.000, 0.135	395.000, 0.174	395.000, 0.237	395.000, 0.232	395.000, 0.130	395.000, 0.193	395.000, 0.423	395.000, 0.126	395.000, 0.167	395.000, 0.189
396.000, 0.134	396.000, 0.176	396.000, 0.243	396.000, 0.234	396.000, 0.132	396.000, 0.197	396.000, 0.421	396.000, 0.125	396.000, 0.167	396.000, 0.190
397.000, 0.135	397.000, 0.179	397.000, 0.251	397.000, 0.237	397.000, 0.134	397.000, 0.201	397.000, 0.419	397.000, 0.125	397.000, 0.168	397.000, 0.192
398.000, 0.137	398.000, 0.182	398.000, 0.258	398.000, 0.240	398.000, 0.137	398.000, 0.205	398.000, 0.418	398.000, 0.125	398.000, 0.170	398.000, 0.195
399.000, 0.136	399.000, 0.184	399.000, 0.262	399.000, 0.240	399.000, 0.138	399.000, 0.207	399.000, 0.415	399.000, 0.124	399.000, 0.170	399.000, 0.195
400.000, 0.135	400.000, 0.186	400.000, 0.265	400.000, 0.242	400.000, 0.139	400.000, 0.209	400.000, 0.412	400.000, 0.123	400.000, 0.170	400.000, 0.195
401.000, 0.136	401.000, 0.188	401.000, 0.271	401.000, 0.244	401.000, 0.142	401.000, 0.212	401.000, 0.411	401.000, 0.124	401.000, 0.170	401.000, 0.198
402.000, 0.138	402.000, 0.190	402.000, 0.275	402.000, 0.246	402.000, 0.143	402.000, 0.214	402.000, 0.410	402.000, 0.123	402.000, 0.171	402.000, 0.199
403.000, 0.139	403.000, 0.191	403.000, 0.279	403.000, 0.247	403.000, 0.145	403.000, 0.216	403.000, 0.409	403.000, 0.123	403.000, 0.172	403.000, 0.200
404.000, 0.138	404.000, 0.193	404.000, 0.282	404.000, 0.248	404.000, 0.147	404.000, 0.219	404.000, 0.406	404.000, 0.122	404.000, 0.172	404.000, 0.201
405.000, 0.138	405.000, 0.194	405.000, 0.286	405.000, 0.249	405.000, 0.148	405.000, 0.221	405.000, 0.404	405.000, 0.122	405.000, 0.172	405.000, 0.202
406.000, 0.139	406.000, 0.196	406.000, 0.290	406.000, 0.250	406.000, 0.149	406.000, 0.223	406.000, 0.402	406.000, 0.122	406.000, 0.173	406.000, 0.204
407.000, 0.139	407.000, 0.197	407.000, 0.293	407.000, 0.251	407.000, 0.150	407.000, 0.224	407.000, 0.400	407.000, 0.121	407.000, 0.173	407.000, 0.205
408.000, 0.140	408.000, 0.198	408.000, 0.296	408.000, 0.252	408.000, 0.151	408.000, 0.226	408.000, 0.398	408.000, 0.121	408.000, 0.173	408.000, 0.206
409.000, 0.140	409.000, 0.200	409.000, 0.300	409.000, 0.254	409.000, 0.152	409.000, 0.229	409.000, 0.396	409.000, 0.121	409.000, 0.175	409.000, 0.208
410.000, 0.140	410.000, 0.201	410.000, 0.302	410.000, 0.255	410.000, 0.152	410.000, 0.230	410.000, 0.394	410.000, 0.120	410.000, 0.175	410.000, 0.208
411.000, 0.140	411.000, 0.201	411.000, 0.304	411.000, 0.256	411.000, 0.153	411.000, 0.231	411.000, 0.391	411.000, 0.120	411.000, 0.175	411.000, 0.209
412.000, 0.141	412.000, 0.203	412.000, 0.307	412.000, 0.257	412.000, 0.154	412.000, 0.232	412.000, 0.390	412.000, 0.120	412.000, 0.176	412.000, 0.211
413.000, 0.141	413.000, 0.204	413.000, 0.309	413.000, 0.258	413.000, 0.154	413.000, 0.233	413.000, 0.388	413.000, 0.120	413.000, 0.176	413.000, 0.212
414.000, 0.141	414.000, 0.204	414.000, 0.310	414.000, 0.258	414.000, 0.154	414.000, 0.234	414.000, 0.386	414.000, 0.119	414.000, 0.176	414.000, 0.212
415.000, 0.141	415.000, 0.205	415.000, 0.312	415.000, 0.259	415.000, 0.154	415.000, 0.235	415.000, 0.384	415.000, 0.119	415.000, 0.176	415.000, 0.212
416.000, 0.142	416.000, 0.206	416.000, 0.313	416.000, 0.259	416.000, 0.154	416.000, 0.236	416.000, 0.382	416.000, 0.119	416.000, 0.177	416.000, 0.213
417.000, 0.142	417.000, 0.207	417.000, 0.314	417.000, 0.260	417.000, 0.154	417.000, 0.236	417.000, 0.380	417.000, 0.118	417.000, 0.178	417.000, 0.214
418.000, 0.142	418.000, 0.207	418.000, 0.316	418.000, 0.260	418.000, 0.154	418.000, 0.237	418.000, 0.379	418.000, 0.118	418.000, 0.178	418.000, 0.214
419.000, 0.142	419.000, 0.208	419.000, 0.317	419.000, 0.261	419.000, 0.153	419.000, 0.238	419.000, 0.377	419.000, 0.117	419.000, 0.178	419.000, 0.214
420.000, 0.142	420.000, 0.208	420.000, 0.317	420.000, 0.262	420.000, 0.153	420.000, 0.239	420.000, 0.374	420.000, 0.117	420.000, 0.178	420.000, 0.215
421.000, 0.142	421.000, 0.209	421.000, 0.319	421.000, 0.262	421.000, 0.153	421.000, 0.239	421.000, 0.373	421.000, 0.116	421.000, 0.178	421.000, 0.215
422.000, 0.142	422.000, 0.209	422.000, 0.320	422.000, 0.263	422.000, 0.153	422.000, 0.240	422.000, 0.371	422.000, 0.116	422.000, 0.178	422.000, 0.216
423.000, 0.143	423.000, 0.210	423.000, 0.321	423.000, 0.263	423.000, 0.153	423.000, 0.240	423.000, 0.369	423.000, 0.116	423.000, 0.179	423.000, 0.217
424.000, 0.144	424.000, 0.211	424.000, 0.323	424.000, 0.264	424.000, 0.153	424.000, 0.241	424.000, 0.368	424.000, 0.116	424.000, 0.179	424.000, 0.217
425.000, 0.144	425.000, 0.211	425.000, 0.323	425.000, 0.265	425.000, 0.153	425.000, 0.242	425.000, 0.366	425.000, 0.116	425.000, 0.180	425.000, 0.218
426.000, 0.144	426.000, 0.212	426.000, 0.324	426.000, 0.266	426.000, 0.153	426.000, 0.243	426.000, 0.364	426.000, 0.116	426.000, 0.180	426.000, 0.218
427.000, 0.144	427.000, 0.213	427.000, 0.325	427.000, 0.266	427.000, 0.153	427.000, 0.243	427.000, 0.363	427.000, 0.115	427.000, 0.180	427.000, 0.218
428.000, 0.144	428.000, 0.214	428.000, 0.327	428.000, 0.267	428.000, 0.152	428.000, 0.244	428.000, 0.361	428.000, 0.115	428.000, 0.181	428.000, 0.219
429.000, 0.144	429.000, 0.214	429.000, 0.327	429.000, 0.268	429.000, 0.152	429.000, 0.245	429.000, 0.359	429.000, 0.114	429.000, 0.181	429.000, 0.220
430.000, 0.145	430.000, 0.214	430.000, 0.328	430.000, 0.268	430.000, 0.152	430.000, 0.245	430.000, 0.357	430.000, 0.114	430.000, 0.181	430.000, 0.220
431.000, 0.145	431.000, 0.215	431.000, 0.329	431.000, 0.269	431.000, 0.152	431.000, 0.246	431.000, 0.356	431.000, 0.114	431.000, 0.182	431.000, 0.220
432.000, 0.145	432.000, 0.216	432.000, 0.330	432.000, 0.270	432.000, 0.152	432.000, 0.247	432.000, 0.354	432.000, 0.114	432.000, 0.182	432.000, 0.221
433.000, 0.145	433.000, 0.217	433.000, 0.331	433.000, 0.270	433.000, 0.152	433.000, 0.247	433.000, 0.352	433.000, 0.113	433.000, 0.182	433.000, 0.221
434.000, 0.146	434.000, 0.217	434.000, 0.332	434.000, 0.271	434.000, 0.152	434.000, 0.248	434.000, 0.351	434.000, 0.113	434.000, 0.183	434.000, 0.222
435.000, 0.146	435.000, 0.218	435.000, 0.333	435.000, 0.272	435.000, 0.151	435.000, 0.249	435.000, 0.349	435.000, 0.113	435.000, 0.183	435.000, 0.222
436.000, 0.146	436.000, 0.218	436.000, 0.334	436.000, 0.273	436.000, 0.151	436.000, 0.249	436.000, 0.348	436.000, 0.112	436.000, 0.184	436.000, 0.223
437.000, 0.146	437.000, 0.219	437.000, 0.335	437.000, 0.274	437.000, 0.151	437.000, 0.250	437.000, 0.346	437.000, 0.112	437.000, 0.184	437.000, 0.223
438.000, 0.146	438.000, 0.220	438.000, 0.336	438.000, 0.274	438.000, 0.151	438.000, 0.251	438.000, 0.344	438.000, 0.112	438.000, 0.184	438.000, 0.224
439.000, 0.147	439.000, 0.220	439.000, 0.336	439.000, 0.275	439.000, 0.151	439.000, 0.252	439.000, 0.343	439.000, 0.111	439.000, 0.185	439.000, 0.224
440.000, 0.147	440.000, 0.221	440.000, 0.337	440.000, 0.275	440.000, 0.150	440.000, 0.252	440.000, 0.342	440.000, 0.111	440.000, 0.185	440.000, 0.224
441.000, 0.147	441.000, 0.221	441.000, 0.338	441.000, 0.276	441.000, 0.150	441.000, 0.253	441.000, 0.340	441.000, 0.111	441.000, 0.185	441.000, 0.225
442.000, 0.147	442.000, 0.222	442.000, 0.339	442.000, 0.277	442.000, 0.150	442.000, 0.254	442.000, 0.339	442.000, 0.110	442.000, 0.186	442.000, 0.225
443.000, 0.148	443.000, 0.222	443.000, 0.340	443.000, 0.277	443.000, 0.150	443.000, 0.254	443.000, 0.337	443.000, 0.110	443.000, 0.186	443.000, 0.226
444.000, 0.148	444.000, 0.223	444.000, 0.340	444.000, 0.278	444.000, 0.150	444.000, 0.255	444.000, 0.335	444.000, 0.110	444.000, 0.186	444.000, 0.226
445.000, 0.148	445.000, 0.223	445.000, 0.341	445.000, 0.279	445.000, 0.149	445.000, 0.255	445.000, 0.334	445.000, 0.109	445.000, 0.186	445.000, 0.227
446.000, 0.148	446.000, 0.223	446.000, 0.341	446.000, 0.279	446.000, 0.149	446.000, 0.256	446.000, 0.333	446.000, 0.109	446.000, 0.187	446.000, 0.227
447.000, 0.149	447.000, 0.224	447.000, 0.342	447.000, 0.279	447.000, 0.149	447.000, 0.256	447.000, 0.332	447.000, 0.109	447.000, 0.187	447.000, 0.227
448.000, 0.149	448.000, 0.224	448.000, 0.343	448.000, 0.280	448.000, 0.149	448.000, 0.257	448.000, 0.330	448.000, 0.109	448.000, 0.187	448.000, 0.228
449.000, 0.149	449.000, 0.225	449.000, 0.344	449.000, 0.281	449.000, 0.149	449.000, 0.258	449.000, 0.329	449.000, 0.109	449.000, 0.188	449.000, 0.228
450.000, 0.149	450.000, 0.226	450.000, 0.344	450.000, 0.282	450.000, 0.149	450.000, 0.259	450.000, 0.328	450.000, 0.108	450.000, 0.188	450.000, 0.229
451.000, 0.149	451.000, 0.226	451.000, 0.345	451.000, 0.282	451.000, 0.148	451.000, 0.259	451.000, 0.327	451.000, 0.108	451.000, 0.188	451.000, 0.229
452.000, 0.150	452.000, 0.226	452.000, 0.345	452.000, 0.282	452.000, 0.148	452.000, 0.259	452.000, 0.326	452.000, 0.108	452.000, 0.188	452.000, 0.229
453.000, 0.150	453.000, 0.226	453.000, 0.346	453.000, 0.283	453.000, 0.148	453.000, 0.260	453.000, 0.325	453.000, 0.107	453.000, 0.189	453.000, 0.229
454.000, 0.150	454.000, 0.227	454.000, 0.346	454.000, 0.283	454.000, 0.147	454.000, 0.261	454.000, 0.324	454.000, 0.107	454.000, 0.189	454.000, 0.229
455.000, 0.150	455.000, 0.227	455.000, 0.347	455.000, 0.284	455.000, 0.147	455.000, 0.261	455.000, 0.322	455.000, 0.107	455.000, 0.189	455.000, 0.230
456.000, 0.150	456.000, 0.227	456.000, 0.347	456.000, 0.284	456.000, 0.147	456.000, 0.262	456.000, 0.321	456.000, 0.106	456.000, 0.189	456.000, 0.230
457.000, 0.150	457.000, 0.228	457.000, 0.348	457.000, 0.285	457.000, 0.147	457.000, 0.262	457.000, 0.320	457.000, 0.106	457.000, 0.189	457.000, 0.230
458.000, 0.150	458.000, 0.228	458.000, 0.348	458.000, 0.285	458.000, 0.147	458.000, 0.262	458.000, 0.318	458.000, 0.106	458.000, 0.189	458.000, 0.231
459.000, 0.150	459.000, 0.228	459.000, 0.349	459.000, 0.285	459.000, 0.146	459.000, 0.263	459.000, 0.317	459.000, 0.105	459.000, 0.189	459.000, 0.231
460.000, 0.150	460.000, 0.228	460.000, 0.349	460.000, 0.286	460.000, 0.146	460.000, 0.263	460.000, 0.316	460.000, 0.105	460.000, 0.190	460.000, 0.231
461.000, 0.150	461.000, 0.228	461.000, 0.350	461.000, 0.286	461.000, 0.146	461.000, 0.264	461.000, 0.314	461.000, 0.104	461.000, 0.190	461.000, 0.231
462.000, 0.150	462.000, 0.229	462.000, 0.350	462.000, 0.286	462.000, 0.145	462.000, 0.264	462.000, 0.313	462.000, 0.104	462.000, 0.190	462.000, 0.231
463.000, 0.150	463.000, 0.229	463.000, 0.351	463.000, 0.287	463.000, 0.145	463.000, 0.264	463.000, 0.312	463.000, 0.104	463.000, 0.190	463.000, 0.231
464.000, 0.151	464.000, 0.229	464.000, 0.351	464.000, 0.287	464.000, 0.145	464.000, 0.265	464.000, 0.310	464.000, 0.104	464.000, 0.190	464.000, 0.231
465.000, 0.151	465.000, 0.229	465.000, 0.351	465.000, 0.287	465.000, 0.145	465.000, 0.265	465.000, 0.309	465.000, 0.103	465.000, 0.190	465.000, 0.231
466.000, 0.151	466.000, 0.229	466.000, 0.352	466.000, 0.287	466.000, 0.144	466.000, 0.266	466.000, 0.307	466.000, 0.103	466.000, 0.190	466.000, 0.232
467.000, 0.151	467.000, 0.230	467.000, 0.352	467.000, 0.288	467.000, 0.144	467.000, 0.266	467.000, 0.306	467.000, 0.102	467.000, 0.190	467.000, 0.232
468.000, 0.151	468.000, 0.230	468.000, 0.353	468.000, 0.288	468.000, 0.144	468.000, 0.266	468.000, 0.304	468.000, 0.102	468.000, 0.190	468.000, 0.232
469.000, 0.151	469.000, 0.230	469.000, 0.353	469.000, 0.288	469.000, 0.143	469.000, 0.267	469.000, 0.302	469.000, 0.102	469.000, 0.190	469.000, 0.232
470.000, 0.151	470.000, 0.230	470.000, 0.354	470.000, 0.289	470.000, 0.143	470.000, 0.267	470.000, 0.301	470.000, 0.101	470.000, 0.190	470.000, 0.232
471.000, 0.151	471.000, 0.231	471.000, 0.354	471.000, 0.289	471.000, 0.143	471.000, 0.267	471.000, 0.299	471.000, 0.101	471.000, 0.191	471.000, 0.232
472.000, 0.151	472.000, 0.231	472.000, 0.354	472.000, 0.289	472.000, 0.142	472.000, 0.267	472.000, 0.297	472.000, 0.100	472.000, 0.190	472.000, 0.232
473.000, 0.151	473.000, 0.231	473.000, 0.355	473.000, 0.290	473.000, 0.142	473.000, 0.268	473.000, 0.295	473.000, 0.100	473.000, 0.190	473.000, 0.232
474.000, 0.151	474.000, 0.232	474.000, 0.356	474.000, 0.290	474.000, 0.142	474.000, 0.268	474.000, 0.293	474.000, 0.099	474.000, 0.191	474.000, 0.233
475.000, 0.151	475.000, 0.232	475.000, 0.356	475.000, 0.290	475.000, 0.142	475.000, 0.269	475.000, 0.291	475.000, 0.099	475.000, 0.191	475.000, 0.233
476.000, 0.151	476.000, 0.232	476.000, 0.356	476.000, 0.291	476.000, 0.142	476.000, 0.269	476.000, 0.290	476.000, 0.099	476.000, 0.191	476.000, 0.233
477.000, 0.152	477.000, 0.232	477.000, 0.357	477.000, 0.291	477.000, 0.141	477.000, 0.270	477.000, 0.288	477.000, 0.098	477.000, 0.191	477.000, 0.233
478.000, 0.152	478.000, 0.233	478.000, 0.357	478.000, 0.292	478.000, 0.141	478.000, 0.270	478.000, 0.287	478.000, 0.098	478.000, 0.191	478.000, 0.234
