325.000, 0.090	325.000, 0.088	325.000, 0.089	325.000, 0.084	325.000, 0.078	325.000, 0.081	325.000, 0.106	325.000, 0.107	325.000, 0.117	325.000, 0.120
377.000, 0.142	377.000, 0.141	377.000, 0.138	377.000, 0.138	377.000, 0.137	377.000, 0.143	377.000, 0.170	377.000, 0.156	377.000, 0.173	377.000, 0.184
378.000, 0.142	378.000, 0.142	378.000, 0.140	378.000, 0.139	378.000, 0.138	378.000, 0.143	378.000, 0.170	378.000, 0.156	378.000, 0.174	378.000, 0.185
379.000, 0.142	379.000, 0.143	379.000, 0.141	379.000, 0.138	379.000, 0.139	379.000, 0.145	379.000, 0.172	379.000, 0.156	379.000, 0.176	379.000, 0.188
380.000, 0.142	380.000, 0.145	380.000, 0.141	380.000, 0.139	380.000, 0.139	380.000, 0.145	380.000, 0.174	380.000, 0.157	380.000, 0.177	380.000, 0.188
381.000, 0.143	381.000, 0.145	381.000, 0.140	381.000, 0.141	381.000, 0.140	381.000, 0.145	381.000, 0.175	381.000, 0.157	381.000, 0.178	381.000, 0.188
382.000, 0.144	382.000, 0.144	382.000, 0.140	382.000, 0.142	382.000, 0.141	382.000, 0.145	382.000, 0.175	382.000, 0.157	382.000, 0.178	382.000, 0.187
383.000, 0.147	383.000, 0.147	383.000, 0.143	383.000, 0.144	383.000, 0.143	383.000, 0.148	383.000, 0.176	383.000, 0.159	383.000, 0.179	383.000, 0.189
384.000, 0.150	384.000, 0.149	384.000, 0.146	384.000, 0.147	384.000, 0.144	384.000, 0.150	384.000, 0.178	384.000, 0.161	384.000, 0.182	384.000, 0.192
385.000, 0.152	385.000, 0.150	385.000, 0.147	385.000, 0.149	385.000, 0.146	385.000, 0.152	385.000, 0.181	385.000, 0.164	385.000, 0.184	385.000, 0.194
386.000, 0.152	386.000, 0.151	386.000, 0.147	386.000, 0.149	386.000, 0.147	386.000, 0.153	386.000, 0.182	386.000, 0.164	386.000, 0.184	386.000, 0.196
387.000, 0.153	387.000, 0.152	387.000, 0.148	387.000, 0.148	387.000, 0.148	387.000, 0.155	387.000, 0.183	387.000, 0.163	387.000, 0.185	387.000, 0.197
388.000, 0.153	388.000, 0.153	388.000, 0.151	388.000, 0.150	388.000, 0.148	388.000, 0.155	388.000, 0.184	388.000, 0.165	388.000, 0.187	388.000, 0.198
389.000, 0.156	389.000, 0.155	389.000, 0.154	389.000, 0.153	389.000, 0.150	389.000, 0.158	389.000, 0.186	389.000, 0.168	389.000, 0.189	389.000, 0.200
390.000, 0.159	390.000, 0.159	390.000, 0.156	390.000, 0.157	390.000, 0.154	390.000, 0.162	390.000, 0.189	390.000, 0.171	390.000, 0.190	390.000, 0.203
391.000, 0.163	391.000, 0.162	391.000, 0.158	391.000, 0.159	391.000, 0.157	391.000, 0.163	391.000, 0.191	391.000, 0.172	391.000, 0.192	391.000, 0.206
392.000, 0.164	392.000, 0.164	392.000, 0.158	392.000, 0.160	392.000, 0.159	392.000, 0.164	392.000, 0.192	392.000, 0.173	392.000, 0.193	392.000, 0.207
393.000, 0.165	393.000, 0.165	393.000, 0.159	393.000, 0.161	393.000, 0.158	393.000, 0.164	393.000, 0.192	393.000, 0.173	393.000, 0.194	393.000, 0.207
394.000, 0.167	394.000, 0.167	394.000, 0.163	394.000, 0.165	394.000, 0.162	394.000, 0.168	394.000, 0.196	394.000, 0.176	394.000, 0.197	394.000, 0.210
395.000, 0.172	395.000, 0.170	395.000, 0.168	395.000, 0.170	395.000, 0.167	395.000, 0.173	395.000, 0.202	395.000, 0.181	395.000, 0.202	395.000, 0.215
396.000, 0.175	396.000, 0.174	396.000, 0.171	396.000, 0.173	396.000, 0.169	396.000, 0.178	396.000, 0.205	396.000, 0.184	396.000, 0.206	396.000, 0.219
397.000, 0.179	397.000, 0.179	397.000, 0.175	397.000, 0.177	397.000, 0.173	397.000, 0.182	397.000, 0.209	397.000, 0.187	397.000, 0.210	397.000, 0.223
398.000, 0.182	398.000, 0.183	398.000, 0.179	398.000, 0.182	398.000, 0.177	398.000, 0.185	398.000, 0.212	398.000, 0.190	398.000, 0.213	398.000, 0.227
399.000, 0.186	399.000, 0.187	399.000, 0.183	399.000, 0.185	399.000, 0.182	399.000, 0.188	399.000, 0.216	399.000, 0.193	399.000, 0.216	399.000, 0.230
400.000, 0.189	400.000, 0.189	400.000, 0.186	400.000, 0.187	400.000, 0.186	400.000, 0.192	400.000, 0.219	400.000, 0.196	400.000, 0.219	400.000, 0.233
401.000, 0.192	401.000, 0.192	401.000, 0.189	401.000, 0.190	401.000, 0.188	401.000, 0.195	401.000, 0.222	401.000, 0.198	401.000, 0.221	401.000, 0.236
402.000, 0.195	402.000, 0.194	402.000, 0.191	402.000, 0.193	402.000, 0.190	402.000, 0.198	402.000, 0.225	402.000, 0.201	402.000, 0.224	402.000, 0.239
403.000, 0.198	403.000, 0.197	403.000, 0.194	403.000, 0.196	403.000, 0.192	403.000, 0.201	403.000, 0.228	403.000, 0.202	403.000, 0.226	403.000, 0.242
404.000, 0.200	404.000, 0.200	404.000, 0.197	404.000, 0.198	404.000, 0.195	404.000, 0.204	404.000, 0.230	404.000, 0.204	404.000, 0.229	404.000, 0.245
405.000, 0.205	405.000, 0.205	405.000, 0.201	405.000, 0.203	405.000, 0.199	405.000, 0.209	405.000, 0.235	405.000, 0.208	405.000, 0.233	405.000, 0.250
406.000, 0.211	406.000, 0.210	406.000, 0.207	406.000, 0.208	406.000, 0.204	406.000, 0.214	406.000, 0.240	406.000, 0.212	406.000, 0.238	406.000, 0.255
407.000, 0.215	407.000, 0.215	407.000, 0.211	407.000, 0.213	407.000, 0.209	407.000, 0.219	407.000, 0.245	407.000, 0.216	407.000, 0.242	407.000, 0.259
408.000, 0.220	408.000, 0.220	408.000, 0.215	408.000, 0.218	408.000, 0.214	408.000, 0.224	408.000, 0.250	408.000, 0.220	408.000, 0.247	408.000, 0.264
409.000, 0.226	409.000, 0.226	409.000, 0.221	409.000, 0.223	409.000, 0.220	409.000, 0.230	409.000, 0.255	409.000, 0.225	409.000, 0.252	409.000, 0.269
410.000, 0.230	410.000, 0.232	410.000, 0.227	410.000, 0.229	410.000, 0.225	410.000, 0.235	410.000, 0.260	410.000, 0.229	410.000, 0.256	410.000, 0.275
411.000, 0.235	411.000, 0.237	411.000, 0.232	411.000, 0.234	411.000, 0.231	411.000, 0.240	411.000, 0.265	411.000, 0.233	411.000, 0.261	411.000, 0.281
412.000, 0.241	412.000, 0.243	412.000, 0.238	412.000, 0.240	412.000, 0.237	412.000, 0.247	412.000, 0.272	412.000, 0.238	412.000, 0.266	412.000, 0.286
413.000, 0.246	413.000, 0.248	413.000, 0.243	413.000, 0.245	413.000, 0.242	413.000, 0.252	413.000, 0.277	413.000, 0.242	413.000, 0.270	413.000, 0.291
414.000, 0.251	414.000, 0.253	414.000, 0.248	414.000, 0.249	414.000, 0.246	414.000, 0.257	414.000, 0.281	414.000, 0.246	414.000, 0.274	414.000, 0.297
415.000, 0.258	415.000, 0.259	415.000, 0.255	415.000, 0.256	415.000, 0.253	415.000, 0.264	415.000, 0.288	415.000, 0.251	415.000, 0.281	415.000, 0.303
416.000, 0.264	416.000, 0.265	416.000, 0.260	416.000, 0.262	416.000, 0.259	416.000, 0.271	416.000, 0.294	416.000, 0.256	416.000, 0.287	416.000, 0.309
417.000, 0.269	417.000, 0.270	417.000, 0.266	417.000, 0.268	417.000, 0.265	417.000, 0.276	417.000, 0.299	417.000, 0.261	417.000, 0.291	417.000, 0.314
418.000, 0.275	418.000, 0.276	418.000, 0.272	418.000, 0.274	418.000, 0.270	418.000, 0.281	418.000, 0.305	418.000, 0.265	418.000, 0.297	418.000, 0.320
419.000, 0.281	419.000, 0.282	419.000, 0.278	419.000, 0.280	419.000, 0.276	419.000, 0.287	419.000, 0.311	419.000, 0.270	419.000, 0.302	419.000, 0.326
420.000, 0.287	420.000, 0.289	420.000, 0.284	420.000, 0.286	420.000, 0.282	420.000, 0.294	420.000, 0.317	420.000, 0.275	420.000, 0.307	420.000, 0.332
421.000, 0.293	421.000, 0.296	421.000, 0.290	421.000, 0.293	421.000, 0.289	421.000, 0.301	421.000, 0.323	421.000, 0.280	421.000, 0.313	421.000, 0.338
422.000, 0.299	422.000, 0.302	422.000, 0.297	422.000, 0.299	422.000, 0.295	422.000, 0.308	422.000, 0.329	422.000, 0.284	422.000, 0.318	422.000, 0.344
423.000, 0.305	423.000, 0.308	423.000, 0.303	423.000, 0.305	423.000, 0.301	423.000, 0.314	423.000, 0.335	423.000, 0.289	423.000, 0.324	423.000, 0.350
424.000, 0.311	424.000, 0.315	424.000, 0.309	424.000, 0.311	424.000, 0.307	424.000, 0.321	424.000, 0.342	424.000, 0.294	424.000, 0.330	424.000, 0.356
425.000, 0.317	425.000, 0.321	425.000, 0.316	425.000, 0.318	425.000, 0.313	425.000, 0.327	425.000, 0.348	425.000, 0.299	425.000, 0.336	425.000, 0.362
426.000, 0.324	426.000, 0.328	426.000, 0.322	426.000, 0.324	426.000, 0.320	426.000, 0.334	426.000, 0.354	426.000, 0.304	426.000, 0.341	426.000, 0.368
427.000, 0.330	427.000, 0.334	427.000, 0.328	427.000, 0.331	427.000, 0.327	427.000, 0.340	427.000, 0.361	427.000, 0.309	427.000, 0.346	427.000, 0.375
428.000, 0.336	428.000, 0.341	428.000, 0.335	428.000, 0.337	428.000, 0.333	428.000, 0.347	428.000, 0.367	428.000, 0.315	428.000, 0.352	428.000, 0.382
429.000, 0.343	429.000, 0.348	429.000, 0.342	429.000, 0.345	429.000, 0.340	429.000, 0.354	429.000, 0.374	429.000, 0.320	429.000, 0.358	429.000, 0.389
430.000, 0.350	430.000, 0.355	430.000, 0.349	430.000, 0.352	430.000, 0.347	430.000, 0.362	430.000, 0.380	430.000, 0.325	430.000, 0.364	430.000, 0.395
431.000, 0.357	431.000, 0.362	431.000, 0.356	431.000, 0.359	431.000, 0.354	431.000, 0.368	431.000, 0.387	431.000, 0.331	431.000, 0.370	431.000, 0.402
432.000, 0.363	432.000, 0.369	432.000, 0.362	432.000, 0.365	432.000, 0.361	432.000, 0.375	432.000, 0.394	432.000, 0.336	432.000, 0.376	432.000, 0.408
433.000, 0.369	433.000, 0.375	433.000, 0.369	433.000, 0.372	433.000, 0.368	433.000, 0.382	433.000, 0.400	433.000, 0.341	433.000, 0.382	433.000, 0.415
434.000, 0.375	434.000, 0.382	434.000, 0.376	434.000, 0.379	434.000, 0.374	434.000, 0.389	434.000, 0.407	434.000, 0.346	434.000, 0.387	434.000, 0.421
435.000, 0.380	435.000, 0.387	435.000, 0.382	435.000, 0.384	435.000, 0.380	435.000, 0.395	435.000, 0.412	435.000, 0.350	435.000, 0.392	435.000, 0.426
436.000, 0.385	436.000, 0.392	436.000, 0.386	436.000, 0.389	436.000, 0.384	436.000, 0.399	436.000, 0.416	436.000, 0.354	436.000, 0.396	436.000, 0.431
437.000, 0.390	437.000, 0.397	437.000, 0.391	437.000, 0.393	437.000, 0.389	437.000, 0.404	437.000, 0.421	437.000, 0.357	437.000, 0.400	437.000, 0.435
438.000, 0.394	438.000, 0.401	438.000, 0.395	438.000, 0.398	438.000, 0.393	438.000, 0.408	438.000, 0.425	438.000, 0.360	438.000, 0.403	438.000, 0.440
439.000, 0.398	439.000, 0.405	439.000, 0.399	439.000, 0.402	439.000, 0.397	439.000, 0.412	439.000, 0.429	439.000, 0.363	439.000, 0.407	439.000, 0.443
440.000, 0.402	440.000, 0.409	440.000, 0.403	440.000, 0.405	440.000, 0.401	440.000, 0.416	440.000, 0.433	440.000, 0.366	440.000, 0.410	440.000, 0.447
441.000, 0.405	441.000, 0.412	441.000, 0.406	441.000, 0.409	441.000, 0.404	441.000, 0.420	441.000, 0.436	441.000, 0.369	441.000, 0.413	441.000, 0.450
442.000, 0.408	442.000, 0.415	442.000, 0.409	442.000, 0.412	442.000, 0.407	442.000, 0.423	442.000, 0.439	442.000, 0.371	442.000, 0.416	442.000, 0.453
443.000, 0.410	443.000, 0.417	443.000, 0.412	443.000, 0.414	443.000, 0.409	443.000, 0.425	443.000, 0.441	443.000, 0.373	443.000, 0.417	443.000, 0.455
444.000, 0.412	444.000, 0.419	444.000, 0.413	444.000, 0.415	444.000, 0.411	444.000, 0.427	444.000, 0.442	444.000, 0.374	444.000, 0.419	444.000, 0.456
445.000, 0.413	445.000, 0.420	445.000, 0.414	445.000, 0.417	445.000, 0.412	445.000, 0.428	445.000, 0.444	445.000, 0.375	445.000, 0.420	445.000, 0.457
446.000, 0.413	446.000, 0.421	446.000, 0.415	446.000, 0.418	446.000, 0.413	446.000, 0.429	446.000, 0.445	446.000, 0.376	446.000, 0.420	446.000, 0.458
447.000, 0.413	447.000, 0.422	447.000, 0.415	447.000, 0.418	447.000, 0.413	447.000, 0.429	447.000, 0.445	447.000, 0.376	447.000, 0.421	447.000, 0.459
448.000, 0.414	448.000, 0.421	448.000, 0.415	448.000, 0.418	448.000, 0.413	448.000, 0.429	448.000, 0.445	448.000, 0.376	448.000, 0.421	448.000, 0.458
449.000, 0.414	449.000, 0.421	449.000, 0.415	449.000, 0.418	449.000, 0.413	449.000, 0.429	449.000, 0.444	449.000, 0.376	449.000, 0.420	449.000, 0.458
450.000, 0.413	450.000, 0.420	450.000, 0.414	450.000, 0.417	450.000, 0.412	450.000, 0.429	450.000, 0.443	450.000, 0.376	450.000, 0.420	450.000, 0.457
451.000, 0.412	451.000, 0.419	451.000, 0.413	451.000, 0.416	451.000, 0.411	451.000, 0.427	451.000, 0.442	451.000, 0.375	451.000, 0.419	451.000, 0.456
452.000, 0.410	452.000, 0.417	452.000, 0.411	452.000, 0.414	452.000, 0.410	452.000, 0.426	452.000, 0.441	452.000, 0.374	452.000, 0.418	452.000, 0.454
453.000, 0.408	453.000, 0.415	453.000, 0.410	453.000, 0.413	453.000, 0.408	453.000, 0.424	453.000, 0.439	453.000, 0.373	453.000, 0.416	453.000, 0.453
454.000, 0.406	454.000, 0.413	454.000, 0.408	454.000, 0.411	454.000, 0.406	454.000, 0.422	454.000, 0.437	454.000, 0.371	454.000, 0.414	454.000, 0.451
455.000, 0.404	455.000, 0.411	455.000, 0.405	455.000, 0.408	455.000, 0.403	455.000, 0.420	455.000, 0.434	455.000, 0.370	455.000, 0.412	455.000, 0.448
456.000, 0.401	456.000, 0.408	456.000, 0.402	456.000, 0.406	456.000, 0.400	456.000, 0.417	456.000, 0.432	456.000, 0.368	456.000, 0.410	456.000, 0.445
457.000, 0.399	457.000, 0.406	457.000, 0.400	457.000, 0.403	457.000, 0.398	457.000, 0.414	457.000, 0.429	457.000, 0.366	457.000, 0.408	457.000, 0.443
458.000, 0.396	458.000, 0.402	458.000, 0.397	458.000, 0.400	458.000, 0.395	458.000, 0.411	458.000, 0.426	458.000, 0.364	458.000, 0.405	458.000, 0.440
459.000, 0.393	459.000, 0.399	459.000, 0.393	459.000, 0.397	459.000, 0.392	459.000, 0.408	459.000, 0.423	459.000, 0.362	459.000, 0.403	459.000, 0.436
460.000, 0.390	460.000, 0.396	460.000, 0.390	460.000, 0.394	460.000, 0.388	460.000, 0.405	460.000, 0.420	460.000, 0.359	460.000, 0.400	460.000, 0.433
461.000, 0.387	461.000, 0.392	461.000, 0.386	461.000, 0.390	461.000, 0.385	461.000, 0.401	461.000, 0.417	461.000, 0.357	461.000, 0.397	461.000, 0.430
462.000, 0.383	462.000, 0.388	462.000, 0.382	462.000, 0.386	462.000, 0.381	462.000, 0.397	462.000, 0.412	462.000, 0.354	462.000, 0.393	462.000, 0.426
463.000, 0.379	463.000, 0.384	463.000, 0.378	463.000, 0.382	463.000, 0.376	463.000, 0.393	463.000, 0.408	463.000, 0.351	463.000, 0.390	463.000, 0.422
464.000, 0.375	464.000, 0.380	464.000, 0.374	464.000, 0.379	464.000, 0.372	464.000, 0.389	464.000, 0.405	464.000, 0.348	464.000, 0.386	464.000, 0.418
465.000, 0.371	465.000, 0.376	465.000, 0.370	465.000, 0.375	465.000, 0.368	465.000, 0.385	465.000, 0.401	465.000, 0.345	465.000, 0.383	465.000, 0.414
466.000, 0.367	466.000, 0.371	466.000, 0.366	466.000, 0.370	466.000, 0.364	466.000, 0.380	466.000, 0.396	466.000, 0.341	466.000, 0.379	466.000, 0.410
467.000, 0.362	467.000, 0.367	467.000, 0.362	467.000, 0.366	467.000, 0.360	467.000, 0.376	467.000, 0.392	467.000, 0.338	467.000, 0.376	467.000, 0.406
468.000, 0.358	468.000, 0.363	468.000, 0.357	468.000, 0.361	468.000, 0.356	468.000, 0.372	468.000, 0.388	468.000, 0.335	468.000, 0.372	468.000, 0.401
469.000, 0.354	469.000, 0.358	469.000, 0.353	469.000, 0.357	469.000, 0.351	469.000, 0.367	469.000, 0.384	469.000, 0.332	469.000, 0.369	469.000, 0.397
470.000, 0.349	470.000, 0.353	470.000, 0.348	470.000, 0.352	470.000, 0.346	470.000, 0.362	470.000, 0.379	470.000, 0.329	470.000, 0.364	470.000, 0.392
471.000, 0.345	471.000, 0.349	471.000, 0.343	471.000, 0.347	471.000, 0.341	471.000, 0.358	471.000, 0.374	471.000, 0.325	471.000, 0.360	471.000, 0.387
472.000, 0.340	472.000, 0.344	472.000, 0.338	472.000, 0.343	472.000, 0.337	472.000, 0.353	472.000, 0.369	472.000, 0.322	472.000, 0.356	472.000, 0.383
473.000, 0.336	473.000, 0.339	473.000, 0.333	473.000, 0.338	473.000, 0.332	473.000, 0.348	473.000, 0.364	473.000, 0.318	473.000, 0.352	473.000, 0.378
474.000, 0.330	474.000, 0.333	474.000, 0.328	474.000, 0.333	474.000, 0.326	474.000, 0.343	474.000, 0.359	474.000, 0.314	474.000, 0.348	474.000, 0.373
475.000, 0.326	475.000, 0.329	475.000, 0.324	475.000, 0.328	475.000, 0.322	475.000, 0.338	475.000, 0.355	475.000, 0.311	475.000, 0.344	475.000, 0.368
476.000, 0.322	476.000, 0.324	476.000, 0.319	476.000, 0.324	476.000, 0.317	476.000, 0.333	476.000, 0.351	476.000, 0.308	476.000, 0.340	476.000, 0.364
477.000, 0.317	477.000, 0.319	477.000, 0.315	477.000, 0.319	477.000, 0.313	477.000, 0.328	477.000, 0.346	477.000, 0.304	477.000, 0.336	477.000, 0.359
478.000, 0.313	478.000, 0.315	478.000, 0.310	478.000, 0.315	478.000, 0.308	478.000, 0.323	478.000, 0.341	478.000, 0.301	478.000, 0.332	478.000, 0.355
