325.000, 0.278	325.000, 0.288	325.000, 0.287	325.000, 0.280	325.000, 0.284
361.000, 0.335	361.000, 0.335	361.000, 0.335	361.000, 0.335	361.000, 0.336
362.000, 0.337	362.000, 0.337	362.000, 0.337	362.000, 0.336	362.000, 0.338
363.000, 0.337	363.000, 0.338	363.000, 0.339	363.000, 0.338	363.000, 0.338
364.000, 0.338	364.000, 0.339	364.000, 0.339	364.000, 0.339	364.000, 0.340
365.000, 0.340	365.000, 0.340	365.000, 0.340	365.000, 0.341	365.000, 0.342
366.000, 0.341	366.000, 0.342	366.000, 0.342	366.000, 0.342	366.000, 0.342
367.000, 0.343	367.000, 0.343	367.000, 0.344	367.000, 0.343	367.000, 0.344
368.000, 0.344	368.000, 0.344	368.000, 0.344	368.000, 0.345	368.000, 0.346
369.000, 0.347	369.000, 0.346	369.000, 0.346	369.000, 0.346	369.000, 0.347
370.000, 0.348	370.000, 0.348	370.000, 0.347	370.000, 0.348	370.000, 0.348
371.000, 0.348	371.000, 0.349	371.000, 0.348	371.000, 0.349	371.000, 0.349
372.000, 0.350	372.000, 0.350	372.000, 0.350	372.000, 0.350	372.000, 0.351
373.000, 0.352	373.000, 0.352	373.000, 0.352	373.000, 0.352	373.000, 0.354
374.000, 0.354	374.000, 0.354	374.000, 0.354	374.000, 0.354	374.000, 0.355
375.000, 0.356	375.000, 0.356	375.000, 0.357	375.000, 0.357	375.000, 0.357
376.000, 0.358	376.000, 0.359	376.000, 0.359	376.000, 0.359	376.000, 0.360
377.000, 0.360	377.000, 0.360	377.000, 0.361	377.000, 0.361	377.000, 0.361
378.000, 0.361	378.000, 0.362	378.000, 0.363	378.000, 0.362	378.000, 0.363
379.000, 0.363	379.000, 0.364	379.000, 0.365	379.000, 0.364	379.000, 0.365
380.000, 0.365	380.000, 0.366	380.000, 0.366	380.000, 0.366	380.000, 0.367
381.000, 0.367	381.000, 0.367	381.000, 0.367	381.000, 0.368	381.000, 0.368
382.000, 0.367	382.000, 0.368	382.000, 0.370	382.000, 0.370	382.000, 0.370
383.000, 0.370	383.000, 0.371	383.000, 0.372	383.000, 0.372	383.000, 0.372
384.000, 0.373	384.000, 0.374	384.000, 0.374	384.000, 0.374	384.000, 0.375
385.000, 0.377	385.000, 0.376	385.000, 0.378	385.000, 0.377	385.000, 0.378
386.000, 0.380	386.000, 0.379	386.000, 0.381	386.000, 0.380	386.000, 0.381
387.000, 0.383	387.000, 0.383	387.000, 0.384	387.000, 0.382	387.000, 0.384
388.000, 0.384	388.000, 0.384	388.000, 0.385	388.000, 0.384	388.000, 0.386
389.000, 0.386	389.000, 0.386	389.000, 0.387	389.000, 0.387	389.000, 0.388
390.000, 0.389	390.000, 0.389	390.000, 0.389	390.000, 0.390	390.000, 0.390
391.000, 0.391	391.000, 0.390	391.000, 0.392	391.000, 0.392	391.000, 0.393
392.000, 0.393	392.000, 0.393	392.000, 0.394	392.000, 0.393	392.000, 0.396
393.000, 0.396	393.000, 0.396	393.000, 0.397	393.000, 0.396	393.000, 0.397
394.000, 0.398	394.000, 0.398	394.000, 0.399	394.000, 0.398	394.000, 0.399
395.000, 0.399	395.000, 0.400	395.000, 0.401	395.000, 0.401	395.000, 0.402
396.000, 0.401	396.000, 0.402	396.000, 0.403	396.000, 0.402	396.000, 0.403
397.000, 0.405	397.000, 0.406	397.000, 0.406	397.000, 0.405	397.000, 0.406
398.000, 0.408	398.000, 0.408	398.000, 0.410	398.000, 0.408	398.000, 0.409
399.000, 0.409	399.000, 0.410	399.000, 0.410	399.000, 0.410	399.000, 0.411
400.000, 0.410	400.000, 0.411	400.000, 0.411	400.000, 0.412	400.000, 0.413
401.000, 0.413	401.000, 0.413	401.000, 0.414	401.000, 0.415	401.000, 0.416
402.000, 0.415	402.000, 0.415	402.000, 0.416	402.000, 0.416	402.000, 0.417
403.000, 0.416	403.000, 0.417	403.000, 0.418	403.000, 0.418	403.000, 0.419
404.000, 0.418	404.000, 0.419	404.000, 0.419	404.000, 0.419	404.000, 0.420
405.000, 0.420	405.000, 0.421	405.000, 0.421	405.000, 0.422	405.000, 0.422
406.000, 0.422	406.000, 0.423	406.000, 0.423	406.000, 0.424	406.000, 0.425
407.000, 0.424	407.000, 0.424	407.000, 0.425	407.000, 0.425	407.000, 0.426
408.000, 0.426	408.000, 0.426	408.000, 0.427	408.000, 0.427	408.000, 0.428
409.000, 0.428	409.000, 0.429	409.000, 0.429	409.000, 0.429	409.000, 0.431
410.000, 0.429	410.000, 0.430	410.000, 0.431	410.000, 0.431	410.000, 0.432
411.000, 0.430	411.000, 0.431	411.000, 0.432	411.000, 0.432	411.000, 0.433
412.000, 0.433	412.000, 0.433	412.000, 0.434	412.000, 0.434	412.000, 0.435
413.000, 0.434	413.000, 0.435	413.000, 0.435	413.000, 0.435	413.000, 0.436
414.000, 0.435	414.000, 0.436	414.000, 0.437	414.000, 0.437	414.000, 0.438
415.000, 0.437	415.000, 0.438	415.000, 0.438	415.000, 0.438	415.000, 0.439
416.000, 0.439	416.000, 0.439	416.000, 0.440	416.000, 0.440	416.000, 0.441
417.000, 0.441	417.000, 0.441	417.000, 0.442	417.000, 0.442	417.000, 0.443
418.000, 0.442	418.000, 0.443	418.000, 0.443	418.000, 0.444	418.000, 0.444
419.000, 0.443	419.000, 0.444	419.000, 0.445	419.000, 0.445	419.000, 0.446
420.000, 0.445	420.000, 0.445	420.000, 0.446	420.000, 0.446	420.000, 0.447
421.000, 0.446	421.000, 0.447	421.000, 0.447	421.000, 0.448	421.000, 0.449
422.000, 0.448	422.000, 0.448	422.000, 0.449	422.000, 0.449	422.000, 0.450
423.000, 0.450	423.000, 0.450	423.000, 0.451	423.000, 0.451	423.000, 0.452
424.000, 0.451	424.000, 0.452	424.000, 0.452	424.000, 0.453	424.000, 0.454
425.000, 0.453	425.000, 0.453	425.000, 0.454	425.000, 0.454	425.000, 0.455
426.000, 0.455	426.000, 0.455	426.000, 0.456	426.000, 0.456	426.000, 0.457
427.000, 0.456	427.000, 0.457	427.000, 0.458	427.000, 0.458	427.000, 0.458
428.000, 0.458	428.000, 0.459	428.000, 0.459	428.000, 0.460	428.000, 0.460
429.000, 0.460	429.000, 0.460	429.000, 0.461	429.000, 0.461	429.000, 0.462
430.000, 0.461	430.000, 0.462	430.000, 0.462	430.000, 0.463	430.000, 0.464
431.000, 0.464	431.000, 0.464	431.000, 0.464	431.000, 0.465	431.000, 0.466
432.000, 0.465	432.000, 0.466	432.000, 0.466	432.000, 0.467	432.000, 0.467
433.000, 0.467	433.000, 0.467	433.000, 0.468	433.000, 0.468	433.000, 0.469
434.000, 0.468	434.000, 0.469	434.000, 0.470	434.000, 0.470	434.000, 0.471
435.000, 0.470	435.000, 0.471	435.000, 0.471	435.000, 0.472	435.000, 0.473
436.000, 0.472	436.000, 0.473	436.000, 0.473	436.000, 0.474	436.000, 0.474
437.000, 0.474	437.000, 0.474	437.000, 0.475	437.000, 0.476	437.000, 0.476
438.000, 0.475	438.000, 0.476	438.000, 0.477	438.000, 0.477	438.000, 0.478
439.000, 0.477	439.000, 0.478	439.000, 0.478	439.000, 0.479	439.000, 0.480
440.000, 0.479	440.000, 0.479	440.000, 0.480	440.000, 0.480	440.000, 0.481
441.000, 0.481	441.000, 0.481	441.000, 0.481	441.000, 0.482	441.000, 0.483
442.000, 0.482	442.000, 0.483	442.000, 0.483	442.000, 0.484	442.000, 0.485
443.000, 0.484	443.000, 0.484	443.000, 0.485	443.000, 0.486	443.000, 0.486
444.000, 0.485	444.000, 0.485	444.000, 0.486	444.000, 0.487	444.000, 0.488
445.000, 0.487	445.000, 0.487	445.000, 0.488	445.000, 0.488	445.000, 0.489
446.000, 0.488	446.000, 0.489	446.000, 0.489	446.000, 0.490	446.000, 0.491
447.000, 0.490	447.000, 0.490	447.000, 0.491	447.000, 0.492	447.000, 0.492
448.000, 0.491	448.000, 0.492	448.000, 0.492	448.000, 0.493	448.000, 0.494
449.000, 0.493	449.000, 0.493	449.000, 0.494	449.000, 0.494	449.000, 0.495
450.000, 0.494	450.000, 0.495	450.000, 0.495	450.000, 0.496	450.000, 0.497
451.000, 0.495	451.000, 0.496	451.000, 0.497	451.000, 0.497	451.000, 0.498
452.000, 0.497	452.000, 0.497	452.000, 0.498	452.000, 0.498	452.000, 0.499
453.000, 0.498	453.000, 0.498	453.000, 0.499	453.000, 0.500	453.000, 0.500
454.000, 0.499	454.000, 0.500	454.000, 0.500	454.000, 0.501	454.000, 0.502
455.000, 0.500	455.000, 0.501	455.000, 0.501	455.000, 0.502	455.000, 0.503
456.000, 0.502	456.000, 0.502	456.000, 0.502	456.000, 0.503	456.000, 0.504
457.000, 0.503	457.000, 0.503	457.000, 0.503	457.000, 0.504	457.000, 0.505
458.000, 0.504	458.000, 0.504	458.000, 0.505	458.000, 0.505	458.000, 0.506
459.000, 0.505	459.000, 0.505	459.000, 0.506	459.000, 0.506	459.000, 0.507
460.000, 0.505	460.000, 0.506	460.000, 0.506	460.000, 0.507	460.000, 0.508
461.000, 0.507	461.000, 0.507	461.000, 0.507	461.000, 0.508	461.000, 0.509
462.000, 0.507	462.000, 0.508	462.000, 0.508	462.000, 0.509	462.000, 0.510
463.000, 0.508	463.000, 0.509	463.000, 0.509	463.000, 0.510	463.000, 0.511
464.000, 0.509	464.000, 0.510	464.000, 0.510	464.000, 0.511	464.000, 0.511
465.000, 0.510	465.000, 0.510	465.000, 0.511	465.000, 0.511	465.000, 0.512
466.000, 0.511	466.000, 0.511	466.000, 0.512	466.000, 0.512	466.000, 0.513
467.000, 0.512	467.000, 0.512	467.000, 0.513	467.000, 0.513	467.000, 0.514
468.000, 0.512	468.000, 0.513	468.000, 0.514	468.000, 0.514	468.000, 0.515
469.000, 0.513	469.000, 0.513	469.000, 0.514	469.000, 0.515	469.000, 0.515
470.000, 0.514	470.000, 0.515	470.000, 0.515	470.000, 0.516	470.000, 0.516
471.000, 0.515	471.000, 0.516	471.000, 0.516	471.000, 0.517	471.000, 0.517
472.000, 0.516	472.000, 0.516	472.000, 0.517	472.000, 0.517	472.000, 0.518
473.000, 0.516	473.000, 0.517	473.000, 0.517	473.000, 0.518	473.000, 0.519
474.000, 0.517	474.000, 0.518	474.000, 0.518	474.000, 0.519	474.000, 0.519
475.000, 0.518	475.000, 0.519	475.000, 0.519	475.000, 0.520	475.000, 0.520
476.000, 0.519	476.000, 0.520	476.000, 0.520	476.000, 0.521	476.000, 0.521
477.000, 0.520	477.000, 0.521	477.000, 0.521	477.000, 0.521	477.000, 0.522
478.000, 0.521	478.000, 0.521	478.000, 0.522	478.000, 0.522	478.000, 0.523
479.000, 0.522	479.000, 0.522	479.000, 0.523	479.000, 0.523	479.000, 0.524
480.000, 0.523	480.000, 0.523	480.000, 0.524	480.000, 0.524	480.000, 0.525
481.000, 0.523	481.000, 0.524	481.000, 0.525	481.000, 0.525	481.000, 0.526
482.000, 0.524	482.000, 0.525	482.000, 0.526	482.000, 0.526	482.000, 0.527
483.000, 0.525	483.000, 0.526	483.000, 0.527	483.000, 0.527	483.000, 0.528
484.000, 0.526	484.000, 0.527	484.000, 0.528	484.000, 0.528	484.000, 0.529
485.000, 0.528	485.000, 0.528	485.000, 0.529	485.000, 0.529	485.000, 0.530
486.000, 0.529	486.000, 0.529	486.000, 0.530	486.000, 0.531	486.000, 0.531
487.000, 0.530	487.000, 0.530	487.000, 0.531	487.000, 0.532	487.000, 0.532
488.000, 0.531	488.000, 0.532	488.000, 0.532	488.000, 0.533	488.000, 0.533
489.000, 0.532	489.000, 0.533	489.000, 0.533	489.000, 0.534	489.000, 0.534
490.000, 0.533	490.000, 0.534	490.000, 0.534	490.000, 0.535	490.000, 0.535
491.000, 0.534	491.000, 0.535	491.000, 0.535	491.000, 0.536	491.000, 0.537
492.000, 0.535	492.000, 0.536	492.000, 0.536	492.000, 0.537	492.000, 0.538
493.000, 0.536	493.000, 0.537	493.000, 0.538	493.000, 0.538	493.000, 0.539
494.000, 0.538	494.000, 0.538	494.000, 0.539	494.000, 0.540	494.000, 0.540
495.000, 0.539	495.000, 0.540	495.000, 0.540	495.000, 0.541	495.000, 0.541
496.000, 0.540	496.000, 0.541	496.000, 0.541	496.000, 0.542	496.000, 0.543
497.000, 0.541	497.000, 0.542	497.000, 0.542	497.000, 0.543	497.000, 0.543
498.000, 0.542	498.000, 0.543	498.000, 0.544	498.000, 0.544	498.000, 0.545
499.000, 0.543	499.000, 0.544	499.000, 0.545	499.000, 0.546	499.000, 0.546
500.000, 0.545	500.000, 0.546	500.000, 0.546	500.000, 0.547	500.000, 0.547
501.000, 0.546	501.000, 0.547	501.000, 0.548	501.000, 0.548	501.000, 0.548
502.000, 0.547	502.000, 0.548	502.000, 0.549	502.000, 0.549	502.000, 0.550
503.000, 0.549	503.000, 0.550	503.000, 0.550	503.000, 0.550	503.000, 0.551
504.000, 0.550	504.000, 0.551	504.000, 0.551	504.000, 0.552	504.000, 0.552
505.000, 0.551	505.000, 0.552	505.000, 0.553	505.000, 0.553	505.000, 0.554
506.000, 0.553	506.000, 0.553	506.000, 0.554	506.000, 0.555	506.000, 0.555
507.000, 0.554	507.000, 0.555	507.000, 0.555	507.000, 0.556	507.000, 0.556
508.000, 0.555	508.000, 0.556	508.000, 0.557	508.000, 0.557	508.000, 0.558
509.000, 0.557	509.000, 0.557	509.000, 0.558	509.000, 0.559	509.000, 0.559
510.000, 0.558	510.000, 0.559	510.000, 0.559	510.000, 0.560	510.000, 0.560
511.000, 0.559	511.000, 0.560	511.000, 0.561	511.000, 0.561	511.000, 0.562
512.000, 0.560	512.000, 0.561	512.000, 0.562	512.000, 0.563	512.000, 0.563
513.000, 0.562	513.000, 0.562	513.000, 0.563	513.000, 0.564	513.000, 0.564
514.000, 0.563	514.000, 0.564	514.000, 0.565	514.000, 0.565	514.000, 0.565
515.000, 0.564	515.000, 0.565	515.000, 0.566	515.000, 0.566	515.000, 0.567
516.000, 0.565	516.000, 0.566	516.000, 0.567	516.000, 0.568	516.000, 0.568
517.000, 0.567	517.000, 0.568	517.000, 0.569	517.000, 0.569	517.000, 0.570
518.000, 0.568	518.000, 0.569	518.000, 0.570	518.000, 0.570	518.000, 0.571
519.000, 0.570	519.000, 0.571	519.000, 0.572	519.000, 0.572	519.000, 0.572
520.000, 0.572	520.000, 0.572	520.000, 0.573	520.000, 0.574	520.000, 0.574
521.000, 0.573	521.000, 0.573	521.000, 0.574	521.000, 0.575	521.000, 0.575
522.000, 0.574	522.000, 0.575	522.000, 0.575	522.000, 0.576	522.000, 0.577
523.000, 0.575	523.000, 0.576	523.000, 0.577	523.000, 0.578	523.000, 0.578
524.000, 0.576	524.000, 0.577	524.000, 0.578	524.000, 0.579	524.000, 0.579
525.000, 0.578	525.000, 0.578	525.000, 0.579	525.000, 0.580	525.000, 0.580
526.000, 0.579	526.000, 0.580	526.000, 0.581	526.000, 0.581	526.000, 0.582
527.000, 0.580	527.000, 0.581	527.000, 0.582	527.000, 0.583	527.000, 0.583
528.000, 0.582	528.000, 0.583	528.000, 0.583	528.000, 0.584	528.000, 0.585
529.000, 0.583	529.000, 0.584	529.000, 0.585	529.000, 0.585	529.000, 0.586
530.000, 0.584	530.000, 0.585	530.000, 0.586	530.000, 0.587	530.000, 0.587
531.000, 0.586	531.000, 0.587	531.000, 0.587	531.000, 0.588	531.000, 0.589
532.000, 0.587	532.000, 0.588	532.000, 0.588	532.000, 0.589	532.000, 0.590
533.000, 0.588	533.000, 0.589	533.000, 0.590	533.000, 0.591	533.000, 0.591
534.000, 0.590	534.000, 0.590	534.000, 0.591	534.000, 0.592	534.000, 0.593
535.000, 0.591	535.000, 0.592	535.000, 0.592	535.000, 0.593	535.000, 0.594
536.000, 0.592	536.000, 0.593	536.000, 0.594	536.000, 0.595	536.000, 0.595
537.000, 0.594	537.000, 0.594	537.000, 0.595	537.000, 0.596	537.000, 0.596
538.000, 0.595	538.000, 0.595	538.000, 0.597	538.000, 0.597	538.000, 0.598
539.000, 0.596	539.000, 0.597	539.000, 0.598	539.000, 0.598	539.000, 0.599
540.000, 0.597	540.000, 0.598	540.000, 0.599	540.000, 0.600	540.000, 0.600
541.000, 0.599	541.000, 0.599	541.000, 0.600	541.000, 0.601	541.000, 0.601
542.000, 0.600	542.000, 0.601	542.000, 0.601	542.000, 0.602	542.000, 0.603
543.000, 0.601	543.000, 0.602	543.000, 0.603	543.000, 0.603	543.000, 0.604
544.000, 0.602	544.000, 0.603	544.000, 0.604	544.000, 0.605	544.000, 0.605
545.000, 0.604	545.000, 0.605	545.000, 0.605	545.000, 0.606	545.000, 0.606
546.000, 0.605	546.000, 0.606	546.000, 0.606	546.000, 0.607	546.000, 0.608
547.000, 0.606	547.000, 0.607	547.000, 0.608	547.000, 0.608	547.000, 0.609
548.000, 0.607	548.000, 0.608	548.000, 0.609	548.000, 0.610	548.000, 0.610
549.000, 0.609	549.000, 0.609	549.000, 0.610	549.000, 0.611	549.000, 0.611
550.000, 0.610	550.000, 0.611	550.000, 0.611	550.000, 0.612	550.000, 0.612
551.000, 0.611	551.000, 0.612	551.000, 0.612	551.000, 0.613	551.000, 0.614
552.000, 0.612	552.000, 0.613	552.000, 0.614	552.000, 0.614	552.000, 0.615
553.000, 0.613	553.000, 0.614	553.000, 0.615	553.000, 0.615	553.000, 0.616
554.000, 0.615	554.000, 0.615	554.000, 0.616	554.000, 0.617	554.000, 0.617
555.000, 0.616	555.000, 0.617	555.000, 0.617	555.000, 0.618	555.000, 0.618
556.000, 0.617	556.000, 0.618	556.000, 0.618	556.000, 0.619	556.000, 0.620
557.000, 0.618	557.000, 0.619	557.000, 0.619	557.000, 0.620	557.000, 0.621
558.000, 0.619	558.000, 0.620	558.000, 0.620	558.000, 0.621	558.000, 0.622
559.000, 0.620	559.000, 0.621	559.000, 0.621	559.000, 0.622	559.000, 0.623
560.000, 0.621	560.000, 0.622	560.000, 0.623	560.000, 0.623	560.000, 0.624
561.000, 0.623	561.000, 0.623	561.000, 0.624	561.000, 0.625	561.000, 0.625
562.000, 0.624	562.000, 0.625	562.000, 0.625	562.000, 0.625	562.000, 0.626
563.000, 0.625	563.000, 0.626	563.000, 0.626	563.000, 0.626	563.000, 0.627
564.000, 0.626	564.000, 0.627	564.000, 0.627	564.000, 0.628	564.000, 0.628
565.000, 0.627	565.000, 0.628	565.000, 0.628	565.000, 0.629	565.000, 0.629
566.000, 0.628	566.000, 0.629	566.000, 0.629	566.000, 0.629	566.000, 0.630
567.000, 0.629	567.000, 0.630	567.000, 0.630	567.000, 0.631	567.000, 0.631
568.000, 0.630	568.000, 0.631	568.000, 0.631	568.000, 0.632	568.000, 0.632
569.000, 0.631	569.000, 0.632	569.000, 0.632	569.000, 0.633	569.000, 0.633
570.000, 0.632	570.000, 0.632	570.000, 0.633	570.000, 0.634	570.000, 0.634
571.000, 0.633	571.000, 0.633	571.000, 0.634	571.000, 0.634	571.000, 0.635
572.000, 0.634	572.000, 0.634	572.000, 0.635	572.000, 0.636	572.000, 0.636
573.000, 0.635	573.000, 0.635	573.000, 0.636	573.000, 0.637	573.000, 0.637
574.000, 0.636	574.000, 0.636	574.000, 0.637	574.000, 0.638	574.000, 0.638
575.000, 0.637	575.000, 0.637	575.000, 0.638	575.000, 0.638	575.000, 0.639
576.000, 0.637	576.000, 0.638	576.000, 0.639	576.000, 0.639	576.000, 0.640
577.000, 0.638	577.000, 0.639	577.000, 0.640	577.000, 0.640	577.000, 0.641
578.000, 0.639	578.000, 0.640	578.000, 0.641	578.000, 0.641	578.000, 0.642
579.000, 0.640	579.000, 0.641	579.000, 0.641	579.000, 0.642	579.000, 0.643
580.000, 0.641	580.000, 0.642	580.000, 0.642	580.000, 0.643	580.000, 0.644
581.000, 0.642	581.000, 0.642	581.000, 0.643	581.000, 0.644	581.000, 0.644
582.000, 0.642	582.000, 0.643	582.000, 0.644	582.000, 0.644	582.000, 0.645
583.000, 0.643	583.000, 0.644	583.000, 0.645	583.000, 0.645	583.000, 0.646
584.000, 0.644	584.000, 0.645	584.000, 0.645	584.000, 0.646	584.000, 0.647
585.000, 0.645	585.000, 0.645	585.000, 0.646	585.000, 0.647	585.000, 0.647
586.000, 0.645	586.000, 0.646	586.000, 0.646	586.000, 0.647	586.000, 0.647
587.000, 0.646	587.000, 0.647	587.000, 0.647	587.000, 0.648	587.000, 0.648
588.000, 0.647	588.000, 0.648	588.000, 0.648	588.000, 0.649	588.000, 0.649
589.000, 0.647	589.000, 0.648	589.000, 0.648	589.000, 0.649	589.000, 0.649
590.000, 0.648	590.000, 0.649	590.000, 0.649	590.000, 0.649	590.000, 0.650
591.000, 0.649	591.000, 0.650	591.000, 0.650	591.000, 0.650	591.000, 0.651
592.000, 0.649	592.000, 0.650	592.000, 0.650	592.000, 0.650	592.000, 0.651
593.000, 0.649	593.000, 0.650	593.000, 0.651	593.000, 0.651	593.000, 0.651
594.000, 0.650	594.000, 0.651	594.000, 0.651	594.000, 0.651	594.000, 0.652
595.000, 0.650	595.000, 0.651	595.000, 0.652	595.000, 0.652	595.000, 0.653
596.000, 0.651	596.000, 0.652	596.000, 0.652	596.000, 0.653	596.000, 0.653
597.000, 0.651	597.000, 0.652	597.000, 0.653	597.000, 0.653	597.000, 0.653
598.000, 0.652	598.000, 0.653	598.000, 0.653	598.000, 0.653	598.000, 0.654
599.000, 0.652	599.000, 0.653	599.000, 0.654	599.000, 0.653	599.000, 0.655
600.000, 0.652	600.000, 0.653	600.000, 0.654	600.000, 0.654	600.000, 0.655
601.000, 0.653	601.000, 0.654	601.000, 0.655	601.000, 0.655	601.000, 0.655
602.000, 0.654	602.000, 0.654	602.000, 0.655	602.000, 0.655	602.000, 0.656
603.000, 0.654	603.000, 0.655	603.000, 0.655	603.000, 0.656	603.000, 0.656
604.000, 0.654	604.000, 0.655	604.000, 0.656	604.000, 0.656	604.000, 0.657
605.000, 0.655	605.000, 0.656	605.000, 0.656	605.000, 0.657	605.000, 0.657
606.000, 0.656	606.000, 0.657	606.000, 0.657	606.000, 0.658	606.000, 0.658
607.000, 0.657	607.000, 0.657	607.000, 0.658	607.000, 0.658	607.000, 0.659
608.000, 0.657	608.000, 0.658	608.000, 0.658	608.000, 0.659	608.000, 0.659
609.000, 0.658	609.000, 0.659	609.000, 0.659	609.000, 0.659	609.000, 0.660
610.000, 0.659	610.000, 0.659	610.000, 0.660	610.000, 0.660	610.000, 0.660
611.000, 0.659	611.000, 0.660	611.000, 0.660	611.000, 0.661	611.000, 0.661
612.000, 0.659	612.000, 0.660	612.000, 0.661	612.000, 0.661	612.000, 0.661
613.000, 0.660	613.000, 0.661	613.000, 0.661	613.000, 0.662	613.000, 0.662
614.000, 0.661	614.000, 0.661	614.000, 0.662	614.000, 0.662	614.000, 0.663
615.000, 0.661	615.000, 0.662	615.000, 0.662	615.000, 0.662	615.000, 0.663
616.000, 0.662	616.000, 0.663	616.000, 0.663	616.000, 0.663	616.000, 0.664
617.000, 0.662	617.000, 0.663	617.000, 0.663	617.000, 0.663	617.000, 0.664
618.000, 0.662	618.000, 0.663	618.000, 0.663	618.000, 0.664	618.000, 0.665
619.000, 0.662	619.000, 0.663	619.000, 0.664	619.000, 0.664	619.000, 0.665
620.000, 0.663	620.000, 0.664	620.000, 0.665	620.000, 0.665	620.000, 0.665
621.000, 0.664	621.000, 0.665	621.000, 0.665	621.000, 0.666	621.000, 0.666
622.000, 0.664	622.000, 0.665	622.000, 0.665	622.000, 0.666	622.000, 0.666
623.000, 0.664	623.000, 0.665	623.000, 0.666	623.000, 0.666	623.000, 0.667
624.000, 0.665	624.000, 0.666	624.000, 0.666	624.000, 0.667	624.000, 0.667
625.000, 0.665	625.000, 0.666	625.000, 0.667	625.000, 0.667	625.000, 0.667
626.000, 0.666	626.000, 0.667	626.000, 0.667	626.000, 0.667	626.000, 0.668
627.000, 0.666	627.000, 0.667	627.000, 0.667	627.000, 0.667	627.000, 0.668
628.000, 0.666	628.000, 0.667	628.000, 0.667	628.000, 0.668	628.000, 0.668
629.000, 0.667	629.000, 0.667	629.000, 0.667	629.000, 0.668	629.000, 0.668
630.000, 0.667	630.000, 0.668	630.000, 0.668	630.000, 0.668	630.000, 0.669
631.000, 0.667	631.000, 0.668	631.000, 0.669	631.000, 0.669	631.000, 0.670
632.000, 0.668	632.000, 0.669	632.000, 0.669	632.000, 0.669	632.000, 0.670
633.000, 0.668	633.000, 0.669	633.000, 0.670	633.000, 0.670	633.000, 0.670
634.000, 0.668	634.000, 0.669	634.000, 0.670	634.000, 0.670	634.000, 0.670
