325.000, 0.031	325.000, 0.026	325.000, 0.032	325.000, 0.058	325.000, 0.039	325.000, 0.036
393.000, 0.028	393.000, 0.030	393.000, 0.032	393.000, 0.055	393.000, 0.044	393.000, 0.045
394.000, 0.030	394.000, 0.032	394.000, 0.033	394.000, 0.056	394.000, 0.046	394.000, 0.046
395.000, 0.030	395.000, 0.034	395.000, 0.033	395.000, 0.057	395.000, 0.047	395.000, 0.046
396.000, 0.030	396.000, 0.034	396.000, 0.035	396.000, 0.057	396.000, 0.048	396.000, 0.046
397.000, 0.030	397.000, 0.033	397.000, 0.035	397.000, 0.057	397.000, 0.048	397.000, 0.046
398.000, 0.031	398.000, 0.033	398.000, 0.034	398.000, 0.057	398.000, 0.047	398.000, 0.045
399.000, 0.031	399.000, 0.034	399.000, 0.036	399.000, 0.057	399.000, 0.047	399.000, 0.046
400.000, 0.032	400.000, 0.036	400.000, 0.037	400.000, 0.058	400.000, 0.048	400.000, 0.047
401.000, 0.033	401.000, 0.037	401.000, 0.038	401.000, 0.059	401.000, 0.049	401.000, 0.048
402.000, 0.033	402.000, 0.038	402.000, 0.039	402.000, 0.059	402.000, 0.049	402.000, 0.048
403.000, 0.034	403.000, 0.038	403.000, 0.040	403.000, 0.059	403.000, 0.049	403.000, 0.048
404.000, 0.035	404.000, 0.039	404.000, 0.041	404.000, 0.061	404.000, 0.050	404.000, 0.049
405.000, 0.036	405.000, 0.040	405.000, 0.042	405.000, 0.061	405.000, 0.051	405.000, 0.050
406.000, 0.037	406.000, 0.041	406.000, 0.043	406.000, 0.060	406.000, 0.050	406.000, 0.050
407.000, 0.038	407.000, 0.043	407.000, 0.045	407.000, 0.062	407.000, 0.052	407.000, 0.051
408.000, 0.039	408.000, 0.045	408.000, 0.047	408.000, 0.063	408.000, 0.053	408.000, 0.052
409.000, 0.040	409.000, 0.046	409.000, 0.048	409.000, 0.063	409.000, 0.053	409.000, 0.052
410.000, 0.041	410.000, 0.047	410.000, 0.049	410.000, 0.063	410.000, 0.053	410.000, 0.053
411.000, 0.042	411.000, 0.049	411.000, 0.051	411.000, 0.064	411.000, 0.054	411.000, 0.053
412.000, 0.044	412.000, 0.050	412.000, 0.053	412.000, 0.065	412.000, 0.055	412.000, 0.054
413.000, 0.045	413.000, 0.051	413.000, 0.054	413.000, 0.065	413.000, 0.056	413.000, 0.054
414.000, 0.045	414.000, 0.053	414.000, 0.055	414.000, 0.065	414.000, 0.056	414.000, 0.055
415.000, 0.047	415.000, 0.054	415.000, 0.057	415.000, 0.066	415.000, 0.057	415.000, 0.055
416.000, 0.048	416.000, 0.056	416.000, 0.059	416.000, 0.066	416.000, 0.057	416.000, 0.056
417.000, 0.049	417.000, 0.057	417.000, 0.061	417.000, 0.067	417.000, 0.058	417.000, 0.057
418.000, 0.050	418.000, 0.059	418.000, 0.062	418.000, 0.067	418.000, 0.058	418.000, 0.057
419.000, 0.051	419.000, 0.060	419.000, 0.063	419.000, 0.068	419.000, 0.059	419.000, 0.057
420.000, 0.052	420.000, 0.061	420.000, 0.064	420.000, 0.068	420.000, 0.059	420.000, 0.058
421.000, 0.053	421.000, 0.063	421.000, 0.066	421.000, 0.069	421.000, 0.060	421.000, 0.058
422.000, 0.054	422.000, 0.064	422.000, 0.068	422.000, 0.069	422.000, 0.060	422.000, 0.059
423.000, 0.055	423.000, 0.066	423.000, 0.069	423.000, 0.070	423.000, 0.061	423.000, 0.060
424.000, 0.056	424.000, 0.067	424.000, 0.071	424.000, 0.070	424.000, 0.061	424.000, 0.060
425.000, 0.057	425.000, 0.068	425.000, 0.072	425.000, 0.070	425.000, 0.062	425.000, 0.060
426.000, 0.058	426.000, 0.069	426.000, 0.073	426.000, 0.071	426.000, 0.062	426.000, 0.061
427.000, 0.059	427.000, 0.070	427.000, 0.075	427.000, 0.071	427.000, 0.062	427.000, 0.061
428.000, 0.059	428.000, 0.072	428.000, 0.076	428.000, 0.072	428.000, 0.062	428.000, 0.062
429.000, 0.060	429.000, 0.072	429.000, 0.077	429.000, 0.072	429.000, 0.063	429.000, 0.062
430.000, 0.061	430.000, 0.073	430.000, 0.078	430.000, 0.072	430.000, 0.063	430.000, 0.062
431.000, 0.062	431.000, 0.075	431.000, 0.079	431.000, 0.073	431.000, 0.064	431.000, 0.063
432.000, 0.063	432.000, 0.076	432.000, 0.081	432.000, 0.073	432.000, 0.065	432.000, 0.064
433.000, 0.064	433.000, 0.077	433.000, 0.082	433.000, 0.074	433.000, 0.066	433.000, 0.064
434.000, 0.065	434.000, 0.078	434.000, 0.083	434.000, 0.075	434.000, 0.066	434.000, 0.065
435.000, 0.065	435.000, 0.079	435.000, 0.084	435.000, 0.075	435.000, 0.066	435.000, 0.065
436.000, 0.066	436.000, 0.080	436.000, 0.084	436.000, 0.076	436.000, 0.067	436.000, 0.066
437.000, 0.066	437.000, 0.080	437.000, 0.085	437.000, 0.076	437.000, 0.067	437.000, 0.066
438.000, 0.067	438.000, 0.081	438.000, 0.086	438.000, 0.076	438.000, 0.068	438.000, 0.066
439.000, 0.067	439.000, 0.082	439.000, 0.087	439.000, 0.075	439.000, 0.068	439.000, 0.067
440.000, 0.069	440.000, 0.083	440.000, 0.088	440.000, 0.077	440.000, 0.068	440.000, 0.067
441.000, 0.070	441.000, 0.084	441.000, 0.089	441.000, 0.078	441.000, 0.069	441.000, 0.068
442.000, 0.070	442.000, 0.085	442.000, 0.090	442.000, 0.078	442.000, 0.070	442.000, 0.068
443.000, 0.070	443.000, 0.085	443.000, 0.091	443.000, 0.078	443.000, 0.070	443.000, 0.068
444.000, 0.071	444.000, 0.086	444.000, 0.091	444.000, 0.078	444.000, 0.070	444.000, 0.068
445.000, 0.071	445.000, 0.086	445.000, 0.092	445.000, 0.078	445.000, 0.070	445.000, 0.069
446.000, 0.072	446.000, 0.087	446.000, 0.092	446.000, 0.078	446.000, 0.071	446.000, 0.069
447.000, 0.072	447.000, 0.088	447.000, 0.093	447.000, 0.079	447.000, 0.071	447.000, 0.070
448.000, 0.073	448.000, 0.088	448.000, 0.094	448.000, 0.079	448.000, 0.072	448.000, 0.070
449.000, 0.073	449.000, 0.089	449.000, 0.094	449.000, 0.080	449.000, 0.072	449.000, 0.070
450.000, 0.074	450.000, 0.089	450.000, 0.095	450.000, 0.080	450.000, 0.072	450.000, 0.070
451.000, 0.074	451.000, 0.090	451.000, 0.096	451.000, 0.080	451.000, 0.072	451.000, 0.071
452.000, 0.075	452.000, 0.091	452.000, 0.096	452.000, 0.081	452.000, 0.073	452.000, 0.071
453.000, 0.075	453.000, 0.091	453.000, 0.097	453.000, 0.081	453.000, 0.073	453.000, 0.072
454.000, 0.075	454.000, 0.092	454.000, 0.097	454.000, 0.081	454.000, 0.074	454.000, 0.072
455.000, 0.076	455.000, 0.093	455.000, 0.098	455.000, 0.081	455.000, 0.074	455.000, 0.072
456.000, 0.076	456.000, 0.093	456.000, 0.098	456.000, 0.082	456.000, 0.074	456.000, 0.072
457.000, 0.077	457.000, 0.093	457.000, 0.099	457.000, 0.082	457.000, 0.074	457.000, 0.073
458.000, 0.077	458.000, 0.094	458.000, 0.100	458.000, 0.082	458.000, 0.075	458.000, 0.073
459.000, 0.078	459.000, 0.095	459.000, 0.100	459.000, 0.083	459.000, 0.075	459.000, 0.074
460.000, 0.078	460.000, 0.095	460.000, 0.101	460.000, 0.083	460.000, 0.075	460.000, 0.074
461.000, 0.079	461.000, 0.096	461.000, 0.101	461.000, 0.083	461.000, 0.076	461.000, 0.074
462.000, 0.079	462.000, 0.096	462.000, 0.102	462.000, 0.083	462.000, 0.076	462.000, 0.074
463.000, 0.080	463.000, 0.097	463.000, 0.103	463.000, 0.084	463.000, 0.076	463.000, 0.075
464.000, 0.080	464.000, 0.097	464.000, 0.104	464.000, 0.084	464.000, 0.077	464.000, 0.075
465.000, 0.080	465.000, 0.098	465.000, 0.104	465.000, 0.084	465.000, 0.077	465.000, 0.075
466.000, 0.080	466.000, 0.098	466.000, 0.104	466.000, 0.084	466.000, 0.077	466.000, 0.075
467.000, 0.081	467.000, 0.099	467.000, 0.105	467.000, 0.084	467.000, 0.077	467.000, 0.075
468.000, 0.081	468.000, 0.099	468.000, 0.105	468.000, 0.084	468.000, 0.077	468.000, 0.076
469.000, 0.081	469.000, 0.099	469.000, 0.105	469.000, 0.085	469.000, 0.077	469.000, 0.076
470.000, 0.082	470.000, 0.100	470.000, 0.106	470.000, 0.085	470.000, 0.078	470.000, 0.076
471.000, 0.082	471.000, 0.101	471.000, 0.107	471.000, 0.085	471.000, 0.078	471.000, 0.077
472.000, 0.083	472.000, 0.101	472.000, 0.107	472.000, 0.085	472.000, 0.079	472.000, 0.077
473.000, 0.083	473.000, 0.102	473.000, 0.108	473.000, 0.086	473.000, 0.079	473.000, 0.077
474.000, 0.084	474.000, 0.103	474.000, 0.109	474.000, 0.086	474.000, 0.079	474.000, 0.078
475.000, 0.085	475.000, 0.103	475.000, 0.109	475.000, 0.087	475.000, 0.080	475.000, 0.078
476.000, 0.085	476.000, 0.103	476.000, 0.110	476.000, 0.087	476.000, 0.080	476.000, 0.078
477.000, 0.085	477.000, 0.104	477.000, 0.110	477.000, 0.087	477.000, 0.080	477.000, 0.078
478.000, 0.085	478.000, 0.104	478.000, 0.110	478.000, 0.087	478.000, 0.080	478.000, 0.078
479.000, 0.085	479.000, 0.104	479.000, 0.111	479.000, 0.087	479.000, 0.080	479.000, 0.079
480.000, 0.086	480.000, 0.105	480.000, 0.112	480.000, 0.087	480.000, 0.081	480.000, 0.079
481.000, 0.087	481.000, 0.106	481.000, 0.112	481.000, 0.088	481.000, 0.081	481.000, 0.079
482.000, 0.087	482.000, 0.106	482.000, 0.112	482.000, 0.088	482.000, 0.081	482.000, 0.080
483.000, 0.087	483.000, 0.107	483.000, 0.113	483.000, 0.088	483.000, 0.082	483.000, 0.080
484.000, 0.088	484.000, 0.107	484.000, 0.114	484.000, 0.089	484.000, 0.082	484.000, 0.080
485.000, 0.089	485.000, 0.108	485.000, 0.115	485.000, 0.089	485.000, 0.083	485.000, 0.081
486.000, 0.089	486.000, 0.109	486.000, 0.115	486.000, 0.089	486.000, 0.083	486.000, 0.081
487.000, 0.089	487.000, 0.109	487.000, 0.116	487.000, 0.090	487.000, 0.083	487.000, 0.082
488.000, 0.090	488.000, 0.109	488.000, 0.116	488.000, 0.090	488.000, 0.084	488.000, 0.082
489.000, 0.090	489.000, 0.110	489.000, 0.117	489.000, 0.090	489.000, 0.084	489.000, 0.082
490.000, 0.091	490.000, 0.111	490.000, 0.117	490.000, 0.090	490.000, 0.084	490.000, 0.083
491.000, 0.091	491.000, 0.111	491.000, 0.118	491.000, 0.091	491.000, 0.085	491.000, 0.083
492.000, 0.091	492.000, 0.111	492.000, 0.118	492.000, 0.091	492.000, 0.085	492.000, 0.083
493.000, 0.092	493.000, 0.112	493.000, 0.118	493.000, 0.091	493.000, 0.085	493.000, 0.083
494.000, 0.092	494.000, 0.113	494.000, 0.120	494.000, 0.091	494.000, 0.085	494.000, 0.084
495.000, 0.093	495.000, 0.113	495.000, 0.120	495.000, 0.092	495.000, 0.086	495.000, 0.084
496.000, 0.093	496.000, 0.114	496.000, 0.121	496.000, 0.093	496.000, 0.086	496.000, 0.084
497.000, 0.094	497.000, 0.114	497.000, 0.121	497.000, 0.093	497.000, 0.087	497.000, 0.085
498.000, 0.094	498.000, 0.115	498.000, 0.122	498.000, 0.093	498.000, 0.087	498.000, 0.085
499.000, 0.095	499.000, 0.116	499.000, 0.122	499.000, 0.093	499.000, 0.088	499.000, 0.086
500.000, 0.095	500.000, 0.116	500.000, 0.123	500.000, 0.094	500.000, 0.088	500.000, 0.086
501.000, 0.096	501.000, 0.117	501.000, 0.124	501.000, 0.095	501.000, 0.089	501.000, 0.087
502.000, 0.096	502.000, 0.117	502.000, 0.125	502.000, 0.095	502.000, 0.089	502.000, 0.088
503.000, 0.097	503.000, 0.118	503.000, 0.125	503.000, 0.096	503.000, 0.090	503.000, 0.088
504.000, 0.098	504.000, 0.119	504.000, 0.126	504.000, 0.096	504.000, 0.090	504.000, 0.088
505.000, 0.098	505.000, 0.119	505.000, 0.127	505.000, 0.097	505.000, 0.091	505.000, 0.089
506.000, 0.099	506.000, 0.120	506.000, 0.127	506.000, 0.097	506.000, 0.092	506.000, 0.090
507.000, 0.099	507.000, 0.120	507.000, 0.128	507.000, 0.098	507.000, 0.092	507.000, 0.090
508.000, 0.100	508.000, 0.121	508.000, 0.129	508.000, 0.099	508.000, 0.093	508.000, 0.091
509.000, 0.100	509.000, 0.122	509.000, 0.129	509.000, 0.099	509.000, 0.093	509.000, 0.091
510.000, 0.101	510.000, 0.122	510.000, 0.130	510.000, 0.100	510.000, 0.094	510.000, 0.092
511.000, 0.101	511.000, 0.123	511.000, 0.131	511.000, 0.101	511.000, 0.095	511.000, 0.093
512.000, 0.102	512.000, 0.124	512.000, 0.131	512.000, 0.102	512.000, 0.095	512.000, 0.094
513.000, 0.103	513.000, 0.124	513.000, 0.132	513.000, 0.103	513.000, 0.096	513.000, 0.095
514.000, 0.103	514.000, 0.125	514.000, 0.133	514.000, 0.103	514.000, 0.097	514.000, 0.095
515.000, 0.103	515.000, 0.126	515.000, 0.134	515.000, 0.104	515.000, 0.098	515.000, 0.096
516.000, 0.104	516.000, 0.126	516.000, 0.134	516.000, 0.105	516.000, 0.099	516.000, 0.097
517.000, 0.105	517.000, 0.127	517.000, 0.134	517.000, 0.106	517.000, 0.099	517.000, 0.098
518.000, 0.105	518.000, 0.127	518.000, 0.135	518.000, 0.107	518.000, 0.100	518.000, 0.099
519.000, 0.106	519.000, 0.128	519.000, 0.136	519.000, 0.108	519.000, 0.101	519.000, 0.100
520.000, 0.107	520.000, 0.129	520.000, 0.137	520.000, 0.109	520.000, 0.102	520.000, 0.101
521.000, 0.107	521.000, 0.130	521.000, 0.138	521.000, 0.110	521.000, 0.103	521.000, 0.102
522.000, 0.108	522.000, 0.130	522.000, 0.138	522.000, 0.111	522.000, 0.104	522.000, 0.103
523.000, 0.108	523.000, 0.131	523.000, 0.139	523.000, 0.112	523.000, 0.105	523.000, 0.104
524.000, 0.109	524.000, 0.132	524.000, 0.140	524.000, 0.113	524.000, 0.106	524.000, 0.104
525.000, 0.109	525.000, 0.133	525.000, 0.141	525.000, 0.114	525.000, 0.107	525.000, 0.105
526.000, 0.110	526.000, 0.133	526.000, 0.141	526.000, 0.115	526.000, 0.108	526.000, 0.106
527.000, 0.111	527.000, 0.134	527.000, 0.142	527.000, 0.116	527.000, 0.109	527.000, 0.107
528.000, 0.111	528.000, 0.134	528.000, 0.143	528.000, 0.117	528.000, 0.109	528.000, 0.108
529.000, 0.112	529.000, 0.135	529.000, 0.143	529.000, 0.118	529.000, 0.110	529.000, 0.109
530.000, 0.113	530.000, 0.136	530.000, 0.144	530.000, 0.119	530.000, 0.111	530.000, 0.110
531.000, 0.113	531.000, 0.137	531.000, 0.145	531.000, 0.120	531.000, 0.112	531.000, 0.111
532.000, 0.114	532.000, 0.137	532.000, 0.146	532.000, 0.121	532.000, 0.113	532.000, 0.112
533.000, 0.114	533.000, 0.138	533.000, 0.146	533.000, 0.121	533.000, 0.113	533.000, 0.112
534.000, 0.115	534.000, 0.139	534.000, 0.147	534.000, 0.122	534.000, 0.114	534.000, 0.113
535.000, 0.116	535.000, 0.139	535.000, 0.148	535.000, 0.123	535.000, 0.115	535.000, 0.114
536.000, 0.117	536.000, 0.140	536.000, 0.149	536.000, 0.123	536.000, 0.116	536.000, 0.115
537.000, 0.117	537.000, 0.141	537.000, 0.150	537.000, 0.124	537.000, 0.116	537.000, 0.115
538.000, 0.118	538.000, 0.142	538.000, 0.151	538.000, 0.125	538.000, 0.117	538.000, 0.116
539.000, 0.118	539.000, 0.143	539.000, 0.152	539.000, 0.126	539.000, 0.118	539.000, 0.117
540.000, 0.119	540.000, 0.143	540.000, 0.152	540.000, 0.126	540.000, 0.118	540.000, 0.117
541.000, 0.120	541.000, 0.144	541.000, 0.153	541.000, 0.127	541.000, 0.119	541.000, 0.118
542.000, 0.120	542.000, 0.145	542.000, 0.154	542.000, 0.128	542.000, 0.120	542.000, 0.118
543.000, 0.121	543.000, 0.146	543.000, 0.155	543.000, 0.128	543.000, 0.120	543.000, 0.119
544.000, 0.122	544.000, 0.146	544.000, 0.155	544.000, 0.129	544.000, 0.121	544.000, 0.119
545.000, 0.122	545.000, 0.147	545.000, 0.156	545.000, 0.129	545.000, 0.121	545.000, 0.120
546.000, 0.123	546.000, 0.148	546.000, 0.157	546.000, 0.130	546.000, 0.122	546.000, 0.121
547.000, 0.124	547.000, 0.149	547.000, 0.158	547.000, 0.130	547.000, 0.123	547.000, 0.122
548.000, 0.124	548.000, 0.150	548.000, 0.159	548.000, 0.131	548.000, 0.123	548.000, 0.122
549.000, 0.125	549.000, 0.150	549.000, 0.159	549.000, 0.131	549.000, 0.124	549.000, 0.122
550.000, 0.126	550.000, 0.151	550.000, 0.160	550.000, 0.132	550.000, 0.124	550.000, 0.123
551.000, 0.126	551.000, 0.152	551.000, 0.161	551.000, 0.133	551.000, 0.125	551.000, 0.123
552.000, 0.127	552.000, 0.153	552.000, 0.162	552.000, 0.133	552.000, 0.125	552.000, 0.124
553.000, 0.128	553.000, 0.153	553.000, 0.163	553.000, 0.134	553.000, 0.126	553.000, 0.124
554.000, 0.128	554.000, 0.154	554.000, 0.164	554.000, 0.134	554.000, 0.126	554.000, 0.125
555.000, 0.129	555.000, 0.155	555.000, 0.164	555.000, 0.134	555.000, 0.127	555.000, 0.125
556.000, 0.130	556.000, 0.156	556.000, 0.165	556.000, 0.135	556.000, 0.127	556.000, 0.126
557.000, 0.130	557.000, 0.157	557.000, 0.166	557.000, 0.135	557.000, 0.127	557.000, 0.126
558.000, 0.131	558.000, 0.157	558.000, 0.167	558.000, 0.135	558.000, 0.128	558.000, 0.126
559.000, 0.132	559.000, 0.158	559.000, 0.168	559.000, 0.135	559.000, 0.128	559.000, 0.127
560.000, 0.132	560.000, 0.159	560.000, 0.169	560.000, 0.136	560.000, 0.128	560.000, 0.127
561.000, 0.133	561.000, 0.160	561.000, 0.169	561.000, 0.136	561.000, 0.129	561.000, 0.127
562.000, 0.134	562.000, 0.161	562.000, 0.170	562.000, 0.136	562.000, 0.129	562.000, 0.127
563.000, 0.134	563.000, 0.161	563.000, 0.171	563.000, 0.136	563.000, 0.129	563.000, 0.128
564.000, 0.135	564.000, 0.162	564.000, 0.172	564.000, 0.136	564.000, 0.129	564.000, 0.128
565.000, 0.136	565.000, 0.163	565.000, 0.173	565.000, 0.136	565.000, 0.129	565.000, 0.128
566.000, 0.136	566.000, 0.164	566.000, 0.174	566.000, 0.136	566.000, 0.130	566.000, 0.128
567.000, 0.137	567.000, 0.165	567.000, 0.175	567.000, 0.137	567.000, 0.130	567.000, 0.128
568.000, 0.138	568.000, 0.165	568.000, 0.175	568.000, 0.137	568.000, 0.130	568.000, 0.128
569.000, 0.138	569.000, 0.166	569.000, 0.176	569.000, 0.136	569.000, 0.130	569.000, 0.128
570.000, 0.139	570.000, 0.167	570.000, 0.177	570.000, 0.137	570.000, 0.130	570.000, 0.128
571.000, 0.140	571.000, 0.168	571.000, 0.178	571.000, 0.137	571.000, 0.130	571.000, 0.128
572.000, 0.140	572.000, 0.168	572.000, 0.178	572.000, 0.137	572.000, 0.130	572.000, 0.128
573.000, 0.141	573.000, 0.169	573.000, 0.179	573.000, 0.137	573.000, 0.130	573.000, 0.128
574.000, 0.142	574.000, 0.170	574.000, 0.180	574.000, 0.137	574.000, 0.130	574.000, 0.128
575.000, 0.143	575.000, 0.171	575.000, 0.181	575.000, 0.137	575.000, 0.130	575.000, 0.128
576.000, 0.143	576.000, 0.172	576.000, 0.182	576.000, 0.137	576.000, 0.131	576.000, 0.128
577.000, 0.144	577.000, 0.172	577.000, 0.183	577.000, 0.137	577.000, 0.131	577.000, 0.128
578.000, 0.144	578.000, 0.173	578.000, 0.183	578.000, 0.137	578.000, 0.131	578.000, 0.128
579.000, 0.145	579.000, 0.174	579.000, 0.184	579.000, 0.137	579.000, 0.131	579.000, 0.129
580.000, 0.146	580.000, 0.175	580.000, 0.186	580.000, 0.137	580.000, 0.132	580.000, 0.129
581.000, 0.147	581.000, 0.176	581.000, 0.186	581.000, 0.137	581.000, 0.132	581.000, 0.129
582.000, 0.147	582.000, 0.177	582.000, 0.187	582.000, 0.138	582.000, 0.132	582.000, 0.129
